month,rate
2015-02,12306.3
2015-03,12506.7
2015-04,11949.19
2015-05,12102.49
2015-06,12752.0806
2015-07,12612.4864
2015-08,12710.87
2015-09,12761.83
2015-10,12667.99
2015-11,12549.42
2015-12,12382.64
2016-01,12392.16
2016-02,11668.57
2016-03,11739.02
2016-04,11776.05
2016-05,11512.88
2016-06,11849.06
2016-07,11898.99
2016-08,10661
2016-09,10806.42
2016-10,10511.3
2016-11,10012.66
2016-12,10173.33
2017-01,10154.05
2017-02,10128.61
2017-03,10212.31
2017-04,10232.03
2017-05,10517.41
2017-06,10614.3
2017-07,10449.4624
2017-08,10807.53
2017-09,10626.18
2017-10,11265.97
2017-11,10957.46
2017-12,11053.25
2018-01,11157.88
2018-02,11805.03
2018-03,11602.22
2018-04,11695.12
2018-05,11843.07
2018-06,11134.82
2018-07,11090.83
2018-08,11014.69
2018-09,10992.06
2018-10,11194.55
2018-11,11020.43
2018-12,10918.73
2019-01,10809.78
2019-02,11181.06
2019-03,11215.47
2019-04,11315.67
2019-05,11236.52
2019-06,10937.4
2019-07,10938.9
2019-08,10864.59
2019-09,10576.37
2019-10,10997.92
2019-11,11381.2
2019-12,11441.37
2020-01,11594.01
2020-02,11688.41
2020-03,11534.62
2020-04,10493
2020-05,11063.44
2020-06,11042.94
2020-07,11361.21
2020-08,11534.78
2020-09,11971.25
2020-10,11652.69
2020-11,12175.37
2020-12,12325.23
2021-01,12538.6300
2021-02,12714.8600
2021-03,13137.7400
2021-04,12890.8700
2021-05,13124.3900
2021-06,13353.3200
2021-07,13249.6100
2021-08,13072.7800
2021-09,13190.4800
2021-10,13399.9200
2021-11,14011.1900
2021-12,14326.3000
2022-01,14616.2894
2022-02,15387.1315
2022-03,15510.6392
2022-04,15345.6909
2022-05,15552.6271
2022-06,16415.5206
2022-07,18577.4424
2022-08,18027.1078
2022-09,18062.5332
2022-10,18163.1728
2022-11,19027.6746
2022-12,20873.3956
2023-01,21500.8314
2023-02,20887.5743
2023-03,20217.8479
2023-04,20665.8794
2023-05,21329.8183
2023-06,21775.1314
2023-07,23729.3423
2023-08,24613.0849
2023-09,24582.3800
2023-10,24692.7800
2023-11,25174.1318
2023-12,26014.2058
2024-01,26036.2164
2024-02,26341.6317
2024-03,26236.5767
2024-04,26595.3264
2024-05,26554.9059
2024-06,27341.4475
2024-07,27858.3011
2024-08,28812.5801
2024-09,28858.6725
2024-10,29234.9172
2024-11,28469.6385
2024-12,27709.0016
2025-01,27849.9327
2025-02,26892.9078
2025-03,27365.5886
2025-04,28088.4300
2025-05,28746.2295
2025-06,28943.4141
2025-07,28983.4388
2025-08,29247.1598
2025-09,29133.7994
2025-10,29482.1975
2025-11,28968.8874
2025-12,28435.2205
2026-01,28967.9228
