month,rate
2015-02,2287.12
2015-03,2322.8
2015-04,2217.97
2015-05,2256.4
2015-06,2380.652
2015-07,2348.591
2015-08,2356.9
2015-09,2355.38
2015-10,2348.84
2015-11,2329.32
2015-12,2291.04
2016-01,2294.64
2016-02,2158.08
2016-03,2182.99
2016-04,2192.68
2016-05,2137.97
2016-06,2204.17
2016-07,2212.53
2016-08,1985.92
2016-09,1996.97
2016-10,1953.08
2016-11,1856.12
2016-12,1870
2017-01,1865.86
2017-02,1860.94
2017-03,1878.08
2017-04,1886.85
2017-05,1936.94
2017-06,1957.24
2017-07,1910.4368
2017-08,1964.7
2017-09,1927.55
2017-10,2048.91
2017-11,1988.67
2017-12,2007.14
2018-01,2027.85
2018-02,2150.78
2018-03,2115.65
2018-04,2130.86
2018-05,2152.25
2018-06,2019.23
2018-07,1992.2
2018-08,1971.05
2018-09,1953.14
2018-10,1990.05
2018-11,1953.59
2018-12,1933.29
2019-01,1904.67
2019-02,1970.4
2019-03,1970.31
2019-04,1988.15
2019-05,1967.79
2019-06,1908.98
2019-07,1904.2
2019-08,1883.67
2019-09,1829.88
2019-10,1883.12
2019-11,1947.75
2019-12,1953.59
2020-01,1976.34
2020-02,1986.83
2020-03,1958.27
2020-04,1778.87
2020-05,1863.83
2020-06,1855.21
2020-07,1896.04
2020-08,1925.26
2020-09,1993.67
2020-10,1930.03
2020-11,1990.44
2020-12,2016.07
2021-01,2048.1500
2021-02,2072.0000
2021-03,2132.2400
2021-04,2083.3900
2021-05,2113.6600
2021-06,2142.1900
2021-07,2119.7900
2021-08,2075.1000
2021-09,2077.6700
2021-10,2065.4800
2021-11,2093.1600
2021-12,2038.7900
2022-01,2001.8701
2022-02,2060.9765
2022-03,2053.4201
2022-04,1997.9126
2022-05,1975.7774
2022-06,1877.0171
2022-07,1860.5385
2022-08,1814.1031
2022-09,1792.6592
2022-10,1713.1504
2022-11,1702.5829
2022-12,1824.5438
2023-01,1888.1972
2023-02,1887.3070
2023-03,18025.3256
2023-04,18378.1300
2023-05,18730.1694
2023-06,18580.1427
2023-07,19110.9217
2023-08,19368.0215
2023-09,18973.8400
2023-10,18573.1000
2023-11,18297.6191
2023-12,18798.7087
2024-01,18988.2780
2024-02,19068.1782
2024-03,18921.2352
2024-04,114173.8104
2024-05,112728.6803
2024-06,115981.0820
2024-07,114698.2593
2024-08,116955.2348
2024-09,117677.5673
2024-10,120722.7870
2024-11,116298.3638
2024-12,113350.7372
2025-01,113900.5441
2025-02,110837.2952
2025-03,113170.8550
2025-04,116423.3883
2025-05,119029.4777
2025-06,120296.6517
2025-07,120688.5547
2025-08,121463.1841
2025-09,121167.6963
2025-10,122154.4390
2025-11,119449.4070
2025-12,117965.0934
2026-01,119710.1830
