month,rate
2015-02,199.49
2015-03,204.95
2015-04,196.27
2015-05,199.09
2015-06,210.9818
2015-07,208.9366
2015-08,209.34
2015-09,209.05
2015-10,219.13
2015-11,217.47
2015-12,215.79
2016-01,217.94
2016-02,205.54
2016-03,208.23
2016-04,210.45
2016-05,205.63
2016-06,214.61
2016-07,213.4
2016-08,192.66
2016-09,192.92
2016-10,189.42
2016-11,180.89
2016-12,183.87
2017-01,184.43
2017-02,185.36
2017-03,187.47
2017-04,189.38
2017-05,195.32
2017-06,197.79
2017-07,194.0198
2017-08,200.48
2017-09,195.73
2017-10,207.09
2017-11,202.32
2017-12,204.23
2018-01,205.24
2018-02,218.67
2018-03,216.98
2018-04,219.48
2018-05,222.62
2018-06,210.5
2018-07,210.78
2018-08,208.71
2018-09,207.22
2018-10,219.72
2018-11,222.92
2018-12,228.39
2019-01,228.01
2019-02,237.98
2019-03,234.75
2019-04,235.4
2019-05,227.82
2019-06,223.48
2019-07,223.16
2019-08,220.11
2019-09,216.98
2019-10,225.63
2019-11,233.67
2019-12,231.51
2020-01,236.81
2020-02,238.49
2020-03,235.71
2020-04,218.44
2020-05,238.52
2020-06,229.63
2020-07,233.93
2020-08,236.41
2020-09,245.41
2020-10,236.05
2020-11,242.58
2020-12,245.63
2021-01,252.3200
2021-02,266.4900
2021-03,271.8800
2021-04,273.0400
2021-05,267.4400
2021-06,278.6600
2021-07,278.0800
2021-08,272.7900
2021-09,274.2000
2021-10,272.9100
2021-11,276.9800
2021-12,271.9800
2022-01,266.9521
2022-02,275.9871
2022-03,274.8530
2022-04,373.2379
2022-05,437.0915
2022-06,446.8497
2022-07,443.1260
2022-08,431.8722
2022-09,424.9660
2022-10,413.5921
2022-11,410.9527
2022-12,441.9831
2023-01,454.3955
2023-02,452.9289
2023-03,438.1354
2023-04,392.4400
2023-05,398.2209
2023-06,375.1268
2023-07,390.6954
2023-08,417.3529
2023-09,408.6751
2023-10,401.7241
2023-11,395.6892
2023-12,411.7330
2024-01,413.4192
2024-02,407.2211
2024-03,392.7616
2024-04,385.9228
2024-05,375.3971
2024-06,381.3440
2024-07,388.5022
2024-08,395.8537
2024-09,391.6043
2024-10,400.7615
2024-11,379.7270
2024-12,369.6179
2025-01,369.8168
2025-02,367.6559
2025-03,372.8467
2025-04,384.5156
2025-05,395.9574
2025-06,401.9385
2025-07,404.1049
2025-08,408.4396
2025-09,406.4120
2025-10,411.6527
2025-11,404.1991
2025-12,404.3503
2026-01,412.7749
