month,rate
2015-02,1.8208
2015-03,2.1031
2015-04,1.9768
2015-05,2.0193
2015-06,2.0688
2015-07,2.133
2015-08,2.1341
2015-09,2.1384
2015-10,2.136
2015-11,2.0929
2015-12,2.0585
2016-01,2.1224
2016-02,1.9835
2016-03,1.9589
2016-04,1.9518
2016-05,1.8856
2016-06,1.9078
2016-07,1.9954
2016-08,1.8449
2016-09,1.8219
2016-10,1.7821
2016-11,1.7149
2016-12,1.7669
2017-01,1.7633
2017-02,1.765
2017-03,1.762
2017-04,1.7777
2017-05,1.8255
2017-06,1.8064
2017-07,1.7773
2017-08,1.8128
2017-09,1.7529
2017-10,1.8448
2017-11,1.7911
2017-12,1.8132
2018-01,1.8232
2018-02,1.9059
2018-03,1.8592
2018-04,1.8707
2018-05,1.8932
2018-06,1.8144
2018-07,1.7919
2018-08,1.7877
2018-09,1.7879
2018-10,1.8217
2018-11,1.7754
2018-12,1.7953
2019-01,1.7671
2019-02,1.8221
2019-03,1.8094
2019-04,1.8332
2019-05,1.8073
2019-06,1.7749
2019-07,1.767
2019-08,1.7499
2019-09,1.7097
2019-10,1.7602
2019-11,1.8099
2019-12,1.8141
2020-01,1.8365
2020-02,1.8397
2020-03,1.8262
2020-04,1.6586
2020-05,1.7443
2020-06,1.7423
2020-07,1.7493
2020-08,1.7761
2020-09,1.8032
2020-10,1.7358
2020-11,1.8033
2020-12,1.7893
2021-01,1.8153
2021-02,6.0865
2021-03,6.2668
2021-04,6.1744
2021-05,6.2474
2021-06,6.3018
2021-07,6.2372
2021-08,6.1740
2021-09,6.2215
2021-10,6.1814
2021-11,6.2720
2021-12,6.1802
2022-01,6.0923
2022-02,6.2353
2022-03,6.2260
2022-04,6.1436
2022-05,6.1519
2022-06,5.9890
2022-07,5.9391
2022-08,5.8594
2022-09,5.8396
2022-10,5.4561
2022-11,5.6576
2022-12,5.9387
2023-01,6.0079
2023-02,5.9041
2023-03,5.7506
2023-04,5.8682
2023-05,5.9375
2023-06,5.9359
2023-07,6.1177
2023-08,6.0953
2023-09,6.0843
2023-10,6.0200
2023-11,5.9648
2023-12,6.0567
2024-01,6.0568
2024-02,6.1136
2024-03,6.1007
2024-04,6.1190
2024-05,6.0235
2024-06,6.1513
2024-07,6.1657
2024-08,6.3064
2024-09,6.2180
2024-10,6.3019
2024-11,6.2409
2024-12,6.1651
2025-01,6.2030
2025-02,6.1040
2025-03,6.1766
2025-04,6.2431
2025-05,7.3786
2025-06,7.4091
2025-07,7.3111
2025-08,7.3320
2025-09,7.3058
2025-10,7.3448
2025-11,7.2397
2025-12,7.1618
2026-01,7.2305
