month,rate
2015-02,14.21
2015-03,14.63
2015-04,14.93
2015-05,14.88
2015-06,15.127
2015-07,15.049
2015-08,15.46
2015-09,15.23
2015-10,15.01
2015-11,14.89
2015-12,15.15
2016-01,14.97
2016-02,14.12
2016-03,14.03
2016-04,14.05
2016-05,13.72
2016-06,14.16
2016-07,14.23
2016-08,12.97
2016-09,12.85
2016-10,12.65
2016-11,12.12
2016-12,12.54
2017-01,12.57
2017-02,12.38
2017-03,12.58
2017-04,12.44
2017-05,12.84
2017-06,12.64
2017-07,12.3958
2017-08,12.51
2017-09,12.03
2017-10,12.66
2017-11,12.41
2017-12,12.53
2018-01,12.61
2018-02,13.03
2018-03,12.86
2018-04,12.94
2018-05,13.04
2018-06,12.64
2018-07,12.58
2018-08,12.37
2018-09,12.19
2018-10,12.35
2018-11,12.3
2018-12,12.12
2019-01,12.05
2019-02,12.48
2019-03,12.43
2019-04,12.66
2019-05,12.51
2019-06,12.26
2019-07,12.09
2019-08,12.0087
2019-09,11.65
2019-10,12.08
2019-11,12.39
2019-12,12.44
2020-01,12.56
2020-02,12.63
2020-03,12.61
2020-04,11.45
2020-05,12.3
2020-06,12.01
2020-07,12.14
2020-08,12.02
2020-09,12.11
2020-10,11.83
2020-11,12.03
2020-12,12.12
2021-01,12.0300
2021-02,12.2300
2021-03,12.5100
2021-04,12.3800
2021-05,12.4200
2021-06,12.4600
2021-07,12.4200
2021-08,12.2400
2021-09,12.3900
2021-10,12.2600
2021-11,12.5100
2021-12,12.4100
2022-01,12.2651
2022-02,12.6352
2022-03,12.7191
2022-04,12.7873
2022-05,12.7633
2022-06,12.4888
2022-07,12.3207
2022-08,12.2862
2022-09,12.4476
2022-10,12.1737
2022-11,12.3974
2022-12,12.9108
2023-01,12.9784
2023-02,12.5995
2023-03,12.3817
2023-04,12.5770
2023-05,12.6286
2023-06,12.6428
2023-07,12.6981
2023-08,12.5406
2023-09,12.6934
2023-10,12.6740
2023-11,12.5260
2023-12,12.7002
2024-01,12.6982
2024-02,12.6649
2024-03,12.7248
2024-04,12.7567
2024-05,12.6501
2024-06,12.5940
2024-07,12.6963
2024-08,12.7955
2024-09,12.6391
2024-10,12.8519
2024-11,12.8415
2024-12,12.6456
2025-01,12.6909
2025-02,12.3339
2025-03,12.5669
2025-04,12.5058
2025-05,12.3211
2025-06,12.3790
2025-07,12.2979
2025-08,12.1789
2025-09,12.1532
2025-10,12.2555
2025-11,12.3358
2025-12,12.1440
2026-01,12.2191
