month,rate
2015-02,24.34
2015-03,28.52
2015-04,26.7
2015-05,27.56
2015-06,27.9914
2015-07,28.3512
2015-08,29.52
2015-09,29.55
2015-10,31.02
2015-11,30.36
2015-12,30.07
2016-01,30.2
2016-02,29.45
2016-03,28.8
2016-04,28.59
2016-05,27.85
2016-06,28.87
2016-07,28.9
2016-08,26.03
2016-09,26.1
2016-10,25.59
2016-11,24.52
2016-12,25.04
2017-01,24.97
2017-02,24.8
2017-03,24.91
2017-04,24.39
2017-05,24.71
2017-06,23.63
2017-07,23.1633
2017-08,23.57
2017-09,22.92
2017-10,23.88
2017-11,22.78
2017-12,23.3
2018-01,23.02
2018-02,23.96
2018-03,23.28
2018-04,23.25
2018-05,23.41
2018-06,22.39
2018-07,22.25
2018-08,21.76
2018-09,21.69
2018-10,22.1
2018-11,22.07
2018-12,21.89
2019-01,21.8
2019-02,22.37
2019-03,22.38
2019-04,22.74
2019-05,23.31
2019-06,22.76
2019-07,22.92
2019-08,21.92
2019-09,21.22
2019-10,22.01
2019-11,22.4
2019-12,22.53
2020-01,22.54
2020-02,23.25
2020-03,22.96
2020-04,20.99
2020-05,22.4
2020-06,21.75
2020-07,21.6
2020-08,21.62
2020-09,21.87
2020-10,21.3
2020-11,22.44
2020-12,22.81
2021-01,23.1800
2021-02,23.6700
2021-03,24.6500
2021-04,24.5400
2021-05,25.0700
2021-06,25.1300
2021-07,25.1000
2021-08,24.6500
2021-09,24.1400
2021-10,24.1500
2021-11,24.0600
2021-12,23.6500
2022-01,23.3808
2022-02,24.6003
2022-03,24.3743
2022-04,24.4091
2022-05,24.0877
2022-06,23.6756
2022-07,23.6094
2022-08,23.1412
2022-09,22.8737
2022-10,21.9490
2022-11,21.8143
2022-12,23.2263
2023-01,23.9598
2023-02,23.5387
2023-03,22.4421
2023-04,22.6905
2023-05,22.3814
2023-06,21.9021
2023-07,22.8718
2023-08,22.6536
2023-09,22.4946
2023-10,22.1588
2023-11,22.1331
2023-12,22.2714
2024-01,22.5635
2024-02,22.4253
2024-03,22.5596
2024-04,22.4765
2024-05,21.9863
2024-06,22.4270
2024-07,22.6795
2024-08,23.0568
2024-09,22.8052
2024-10,23.0392
2024-11,23.0081
2024-12,22.9792
2025-01,23.2049
2025-02,23.1797
2025-03,23.4986
2025-04,23.5460
2025-05,23.5035
2025-06,23.3548
2025-07,23.0136
2025-08,22.9296
2025-09,22.5793
2025-10,22.6387
2025-11,22.6645
2025-12,22.2585
2026-01,22.4731
