month,rate
2015-02,3989.8
2015-03,4332.6
2015-04,4359.24
2015-05,4607.05
2015-06,4919.3425
2015-07,5012.456
2015-08,5135.94
2015-09,5113.47
2015-10,4833.32
2015-11,4737.89
2015-12,4963.08
2016-01,4865.58
2016-02,4604.64
2016-03,4587.18
2016-04,4630.61
2016-05,4513.99
2016-06,4637.29
2016-07,4797.74
2016-08,4014.02
2016-09,4037.42
2016-10,3969.93
2016-11,3954.66
2016-12,4081.11
2017-01,4138.46
2017-02,4033.05
2017-03,3916.94
2017-04,4073.1
2017-05,4099.35
2017-06,4001.24
2017-07,3976.6475
2017-08,3795.09
2017-09,3773.22
2017-10,4055.77
2017-11,4049.78
2017-12,4267.34
2018-01,4340.22
2018-02,4613.91
2018-03,4389.27
2018-04,4430.5
2018-05,4584.21
2018-06,4329.32
2018-07,4461.36
2018-08,4332.28
2018-09,4268.38
2018-10,4507.55
2018-11,4541.81
2018-12,4657.55
2019-01,4478.79
2019-02,4663.13
2019-03,4601.81
2019-04,4685.19
2019-05,4618.36
2019-06,4649.66
2019-07,4613.66
2019-08,4565.45
2019-09,4497.37
2019-10,4670.68
2019-11,4801.74
2019-12,4764.55
2020-01,4793.8
2020-02,4861.96
2020-03,4832.86
2020-04,4405.41
2020-05,4675.61
2020-06,4680.98
2020-07,4818.48
2020-08,4904.83
2020-09,5059.32
2020-10,4926.55
2020-11,5189.95
2020-12,5211.45
2021-01,5027.6000
2021-02,5193.6300
2021-03,5290.2200
2021-04,5186.5300
2021-05,5251.4200
2021-06,5314.0500
2021-07,5266.3200
2021-08,5278.3400
2021-09,5381.8200
2021-10,5411.1400
2021-11,5477.6500
2021-12,5364.2800
2022-01,5251.4913
2022-02,5438.9919
2022-03,5406.4896
2022-04,5342.2570
2022-05,5274.4563
2022-06,5020.2341
2022-07,4998.9252
2022-08,4932.3406
2022-09,4864.3550
2022-10,4674.2230
2022-11,4773.8075
2022-12,5227.1046
2023-01,5464.8542
2023-02,5401.8986
2023-03,5175.2923
2023-04,5262.6870
2023-05,5473.5646
2023-06,5431.6329
2023-07,5729.4212
2023-08,5766.6801
2023-09,5680.9040
2023-10,5589.5760
2023-11,5523.8947
2023-12,5660.5926
2024-01,5773.3331
2024-02,5789.4211
2024-03,5725.0752
2024-04,5697.3210
2024-05,5470.8452
2024-06,5635.2387
2024-07,5723.7392
2024-08,5863.4490
2024-09,5951.0078
2024-10,5978.0389
2024-11,5992.0824
2024-12,5913.6201
2025-01,5991.9743
2025-02,5777.5099
2025-03,5968.4995
2025-04,6046.8884
2025-05,6059.0670
2025-06,6036.0976
2025-07,6061.3921
2025-08,5982.5034
2025-09,5944.4645
2025-10,6008.4537
2025-11,5975.7924
2025-12,5890.8664
2026-01,6017.2264
