month,rate
2015-02,80.4
2015-03,82.95
2015-04,86.32
2015-05,85.61
2015-06,85.0244
2015-07,85.0693
2015-08,88.28
2015-09,86.48
2015-10,84.05
2015-11,83.76
2015-12,87.1
2016-01,85.19
2016-02,80.45
2016-03,79.17
2016-04,79.14
2016-05,77.31
2016-06,79.8
2016-07,80.15
2016-08,73.69
2016-09,72.57
2016-10,71.64
2016-11,69.01
2016-12,72.49
2017-01,73.03
2017-02,71.07
2017-03,72.51
2017-04,71.11
2017-05,73.61
2017-06,71.29
2017-07,69.9839
2017-08,69.72
2017-09,66.68
2017-10,69.62
2017-11,68.87
2017-12,69.4
2018-01,69.47
2018-02,70.73
2018-03,69.86
2018-04,70.59
2018-05,70.81
2018-06,70.19
2018-07,70.06
2018-08,69.01
2018-09,68.53
2018-10,69.4
2018-11,69.65
2018-12,68.94
2019-01,68.18
2019-02,70.58
2019-03,70.95
2019-04,71.49
2019-05,71.03
2019-06,69.83
2019-07,69.29
2019-08,68.9787
2019-09,67.35
2019-10,69.5
2019-11,71.35
2019-12,71.66
2020-01,72.34
2020-02,73.06
2020-03,73.89
2020-04,66.88
2020-05,70.13
2020-06,68.76
2020-07,68.8
2020-08,67.61
2020-09,68.21
2020-10,67.33
2020-11,68.25
2020-12,68.97
2021-01,68.1900
2021-02,69.3400
2021-03,71.2800
2021-04,71.4100
2021-05,71.3000
2021-06,71.3000
2021-07,71.9800
2021-08,71.4300
2021-09,72.3000
2021-10,71.5800
2021-11,73.0400
2021-12,73.3200
2022-01,72.3216
2022-02,73.9714
2022-03,73.5779
2022-04,73.9473
2022-05,73.9924
2022-06,72.7062
2022-07,71.5218
2022-08,72.3026
2022-09,72.8175
2022-10,70.6062
2022-11,70.7908
2022-12,71.5846
2023-01,71.7130
2023-02,70.4177
2023-03,69.1979
2023-04,69.7660
2023-05,69.9257
2023-06,70.7184
2023-07,71.5350
2023-08,70.8754
2023-09,71.8296
2023-10,71.1187
2023-11,71.0350
2023-12,70.8040
2024-01,71.2353
2024-02,71.7989
2024-03,71.9857
2024-04,72.0780
2024-05,72.1604
2024-06,72.1984
2024-07,73.0140
2024-08,73.3923
2024-09,72.1501
2024-10,73.1253
2024-11,73.8731
2024-12,73.7209
2025-01,74.4466
2025-02,72.7629
2025-03,74.1551
2025-04,73.1745
2025-05,71.8368
2025-06,72.7702
2025-07,71.9331
2025-08,71.2078
2025-09,71.1645
2025-10,71.0707
2025-11,70.8402
2025-12,69.7211
2026-01,70.0000
