month,rate
2015-02,1558.82
2015-03,1588.88
2015-04,1495.56
2015-05,1571.03
2015-06,1690.3811
2015-07,1732.0567
2015-08,1916.48
2015-09,1978.74
2015-10,2015.88
2015-11,1979.02
2015-12,1953.71
2016-01,1972.02
2016-02,1857.88
2016-03,1777.47
2016-04,1757.84
2016-05,1670.25
2016-06,1715.59
2016-07,1738.55
2016-08,1559.22
2016-09,1608.01
2016-10,1633.33
2016-11,1586.72
2016-12,1629.34
2017-01,1703.76
2017-02,1678.88
2017-03,1692.98
2017-04,1710.95
2017-05,1732.74
2017-06,1776.15
2017-07,1741.1127
2017-08,1772.99
2017-09,1743.43
2017-10,1848.97
2017-11,1801.19
2017-12,1798.66
2018-01,1827.51
2018-02,1905.65
2018-03,1860.61
2018-04,1885.56
2018-05,1882.43
2018-06,1809.77
2018-07,1813.2
2018-08,1876.19
2018-09,1951.2
2018-10,2083.44
2018-11,2047.07
2018-12,2041.14
2019-01,1989.12
2019-02,2001.94
2019-03,2014.86
2019-04,2032.14
2019-05,1979.99
2019-06,1947.71
2019-07,1930.34
2019-08,1890.36
2019-09,1846.01
2019-10,1916.58
2019-11,1977.05
2019-12,1957.96
2020-01,1967.27
2020-02,1930.07
2020-03,1878.99
2020-04,1680.84
2020-05,1777.03
2020-06,1724.05
2020-07,1762.53
2020-08,1764.35
2020-09,1794.78
2020-10,1675.75
2020-11,1702.44
2020-12,1735.49
2021-01,1836.5700
2021-02,1817.0600
2021-03,1981.2100
2021-04,1934.9700
2021-05,1964.1100
2021-06,2328.9200
2021-07,2298.9700
2021-08,2250.5000
2021-09,2264.5700
2021-10,2505.0200
2021-11,2597.0700
2021-12,2387.3300
2022-01,2352.3610
2022-02,2423.4273
2022-03,2415.3413
2022-04,2348.6441
2022-05,2416.6471
2022-06,2298.3696
2022-07,2278.6752
2022-08,2218.8145
2022-09,2481.0411
2022-10,2381.4278
2022-11,2364.6034
2022-12,2534.1341
2023-01,2606.4644
2023-02,2600.6099
2023-03,2520.1279
2023-04,2568.5823
2023-05,2615.2291
2023-06,2593.3660
2023-07,2673.5013
2023-08,2706.8121
2023-09,2649.2000
2023-10,2595.5860
2023-11,2557.0696
2023-12,2631.3552
2024-01,2653.0300
2024-02,2667.5155
2024-03,2646.0834
2024-04,2667.8371
2024-05,2614.2041
2024-06,2667.4503
2024-07,2672.0219
2024-08,2736.2974
2024-09,2734.7513
2024-10,2772.5341
2024-11,2718.4693
2024-12,2657.4731
2025-01,2666.9247
2025-02,2593.4498
2025-03,2641.5068
2025-04,2723.7515
2025-05,2785.3967
2025-06,2816.2039
2025-07,2824.0340
2025-08,2842.2635
2025-09,2828.5433
2025-10,2865.0089
2025-11,2798.0065
2025-12,2756.2148
2026-01,2798.6746
