month,rate
2015-02,2921.55
2015-03,3016.63
2015-04,2929.02
2015-05,2951.2
2015-06,3069.9755
2015-07,2898.9574
2015-08,3095.63
2015-09,3106.95
2015-10,3103.46
2015-11,3074.41
2015-12,3025.4
2016-01,3036.04
2016-02,2858.22
2016-03,2912.34
2016-04,2967.59
2016-05,2840.47
2016-06,2924.62
2016-07,2856.64
2016-08,2677.11
2016-09,2994.6
2016-10,2910.37
2016-11,2849.52
2016-12,3035.88
2017-01,3076.16
2017-02,3077.09
2017-03,3091.96
2017-04,3063.24
2017-05,3091.81
2017-06,3124.59
2017-07,2988.8173
2017-08,3147.57
2017-09,3121.96
2017-10,3348.38
2017-11,3230.6
2017-12,3245.83
2018-01,3251.64
2018-02,3440.52
2018-03,3350.66
2018-04,3372.1
2018-05,3404.88
2018-06,3212.63
2018-07,3205.7
2018-08,3214.63
2018-09,3184.66
2018-10,3307.99
2018-11,3311.94
2018-12,3296.7
2019-01,3339.02
2019-02,3448.36
2019-03,3439.1
2019-04,3470.53
2019-05,3435.81
2019-06,3348.94
2019-07,3361.24
2019-08,3331.75
2019-09,3238.23
2019-10,3330.58
2019-11,3462.66
2019-12,3495.94
2020-01,3579.5
2020-02,3609.67
2020-03,3572.67
2020-04,3253.77
2020-05,3435.52
2020-06,3433.74
2020-07,3533.76
2020-08,3622.12
2020-09,3754.77
2020-10,3666.19
2020-11,3737.51
2020-12,3762.08
2021-01,3858.7600
2021-02,3891.8100
2021-03,4017.9000
2021-04,3917.3400
2021-05,3862.9400
2021-06,4044.1900
2021-07,3988.1500
2021-08,3897.2200
2021-09,3935.8900
2021-10,3895.8000
2021-11,3942.8000
2021-12,3846.1500
2022-01,3793.4957
2022-02,3901.3002
2022-03,3901.9335
2022-04,3871.1046
2022-05,3998.4086
2022-06,3892.5576
2022-07,3856.4283
2022-08,3776.4835
2022-09,3770.9097
2022-10,3688.3860
2022-11,3816.7953
2022-12,4127.0027
2023-01,4249.0649
2023-02,4281.4487
2023-03,4224.7267
2023-04,4316.9561
2023-05,4369.9666
2023-06,4321.7528
2023-07,4405.2883
2023-08,4444.5314
2023-09,4392.9150
2023-10,4297.3370
2023-11,4227.3601
2023-12,4347.9247
2024-01,4352.4787
2024-02,4336.6041
2024-03,4293.1324
2024-04,4309.1013
2024-05,4225.0438
2024-06,4315.6321
2024-07,4330.3578
2024-08,4433.3208
2024-09,4432.3478
2024-10,4491.4668
2024-11,4415.8455
2024-12,4323.7407
2025-01,4361.6877
2025-02,4246.8346
2025-03,4358.0099
2025-04,4509.9609
2025-05,4703.2879
2025-06,4793.6871
2025-07,4818.1926
2025-08,4859.2103
2025-09,4842.7810
2025-10,4908.0112
2025-11,4792.6727
2025-12,4685.5492
2026-01,4730.1387
