month,rate
2015-02,12.09
2015-03,12.32
2015-04,11.8
2015-05,11.94
2015-06,12.6072
2015-07,12.4334
2015-08,12.48
2015-09,12.46
2015-10,12.44
2015-11,12.32
2015-12,12.12
2016-01,12.14
2016-02,11.49
2016-03,11.59
2016-04,11.58
2016-05,11.32
2016-06,11.69
2016-07,11.72
2016-08,10.52
2016-09,10.58
2016-10,10.35
2016-11,9.8225
2016-12,9.9058
2017-01,9.895
2017-02,9.8605
2017-03,9.9526
2017-04,9.9796
2017-05,10.25
2017-06,10.38
2017-07,10.1746
2017-08,10.48
2017-09,10.31
2017-10,10.89
2017-11,10.59
2017-12,10.68
2018-01,10.8
2018-02,11.45
2018-03,11.26
2018-04,11.36
2018-05,11.5
2018-06,10.78
2018-07,10.65
2018-08,10.55
2018-09,10.43
2018-10,10.62
2018-11,10.42
2018-12,10.3
2019-01,10.19
2019-02,10.55
2019-03,10.56
2019-04,10.66
2019-05,10.54
2019-06,10.23
2019-07,10.17
2019-08,10.0612
2019-09,9.8003
2019-10,10.06
2019-11,10.4
2019-12,10.4
2020-01,10.48
2020-02,10.51
2020-03,10.36
2020-04,9.4128
2020-05,9.8401
2020-06,9.7947
2020-07,10.0102
2020-08,10.1653
2020-09,10.5242
2020-10,10.1883
2020-11,10.5071
2020-12,10.62
2021-01,10.7700
2021-02,10.8800
2021-03,11.2200
2021-04,10.9700
2021-05,11.1300
2021-06,11.3100
2021-07,11.1700
2021-08,10.9400
2021-09,11.0300
2021-10,10.9400
2021-11,11.0600
2021-12,10.8000
2022-01,10.6202
2022-02,10.9371
2022-03,10.9102
2022-04,10.6484
2022-05,10.5415
2022-06,10.0350
2022-07,9.9525
2022-08,9.6997
2022-09,9.5541
2022-10,9.1619
2022-11,9.1034
2022-12,9.7170
2023-01,9.9323
2023-02,9.9828
2023-03,9.7029
2023-04,9.8853
2023-05,10.0662
2023-06,9.9720
2023-07,10.2648
2023-08,10.3646
2023-09,10.1994
2023-10,9.9651
2023-11,9.8248
2023-12,10.0660
2024-01,10.1713
2024-02,10.2272
2024-03,10.1627
2024-04,10.2285
2024-05,10.0487
2024-06,10.2184
2024-07,10.2368
2024-08,10.4807
2024-09,10.4623
2024-10,10.6044
2024-11,10.3659
2024-12,10.1516
2025-01,10.1708
2025-02,9.9118
2025-03,10.0815
2025-04,10.3869
2025-05,10.6085
2025-06,10.8194
2025-07,10.8757
2025-08,10.9484
2025-09,10.8441
2025-10,10.9306
2025-11,10.6667
2025-12,10.5266
2026-01,10.6799
