month,rate
2015-02,438.35
2015-03,446.37
2015-04,428.8
2015-05,471.17
2015-06,495.8704
2015-07,502.8803
2015-08,509.68
2015-09,496.36
2015-10,491.12
2015-11,505.06
2015-12,477.95
2016-01,462.51
2016-02,489.36
2016-03,495.87
2016-04,496.29
2016-05,490.54
2016-06,518.99
2016-07,523.79
2016-08,469.13
2016-09,473.04
2016-10,462.7
2016-11,440.09
2016-12,444.6
2017-01,444.22
2017-02,442.98
2017-03,447.04
2017-04,449.1
2017-05,460.37
2017-06,465.4
2017-07,455.687
2017-08,468.7
2017-09,457.78
2017-10,482.68
2017-11,467.79
2017-12,470.07
2018-01,475.06
2018-02,504.2
2018-03,492.95
2018-04,497.41
2018-05,504.89
2018-06,476.15
2018-07,470.77
2018-08,466.24
2018-09,461.24
2018-10,469.95
2018-11,461.34
2018-12,456.55
2019-01,451.73
2019-02,466.7
2019-03,466.77
2019-04,471.22
2019-05,466.24
2019-06,452.3
2019-07,451.32
2019-08,446.6
2019-09,433.42
2019-10,446.03
2019-11,460.27
2019-12,461.34
2020-02,46.95
