month,rate
2020-01,49.25
2020-03,48.35
2020-04,43.76
2020-05,46.35
2020-06,46.37
2020-07,47.07
2020-08,47.99
2020-09,50.19
2020-10,45.6
2020-11,47.29
2020-12,47.53
2021-01,48.2200
2021-02,48.7000
2021-03,50.2000
2021-04,49.0200
2021-05,49.7700
2021-06,50.5400
2021-07,49.9100
2021-08,48.8500
2021-09,49.1500
2021-10,49.1300
2021-11,59.3100
2021-12,48.1000
2022-01,47.2188
2022-02,48.6963
2022-03,48.5178
2022-04,47.2063
2022-05,46.6187
2022-06,44.3498
2022-07,43.9802
2022-08,42.8633
2022-09,42.2365
2022-10,40.4872
2022-11,40.2283
2022-12,43.1100
2023-01,44.3267
2023-02,44.2767
2023-03,42.8833
2023-04,43.7016
2023-05,44.4840
2023-06,44.1820
2023-07,45.4915
2023-08,46.0432
2023-09,48.1779
2023-10,47.0670
2023-11,47.9105
2023-12,50.0170
2024-01,50.3089
2024-02,50.2058
2024-03,50.0616
2024-04,50.5895
2024-05,49.2696
2024-06,50.2702
2024-07,49.9398
2024-08,51.5707
2024-09,51.5964
2024-10,52.2855
2024-11,51.4904
2024-12,50.3616
2025-01,50.5163
2025-02,49.0109
2025-03,50.1434
2025-04,51.5387
2025-05,52.4740
2025-06,53.0774
2025-07,53.2897
2025-08,53.8916
2025-09,53.5527
2025-10,54.3976
2025-11,53.3270
2025-12,52.1296
2026-01,52.9145
