month,rate
2015-02,48.39
2015-03,51.96
2015-04,53.18
2015-05,54.07
2015-06,55.0037
2015-07,54.8186
2015-08,55.38
2015-09,55.19
2015-10,55.31
2015-11,54.52
2015-12,54.79
2016-01,55.03
2016-02,51.55
2016-03,51.33
2016-04,51.32
2016-05,49.8
2016-06,51.31
2016-07,51.98
2016-08,46.75
2016-09,46.52
2016-10,46.11
2016-11,43.73
2016-12,44.45
2017-01,44.54
2017-02,44.24
2017-03,44.24
2017-04,43.94
2017-05,45.19
2017-06,44.93
2017-07,44.0724
2017-08,44.47
2017-09,42.55
2017-10,45.29
2017-11,44.84
2017-12,45.21
2018-01,44.97
2018-02,46.43
2018-03,45.77
2018-04,46.48
2018-05,47.82
2018-06,45.89
2018-07,46.28
2018-08,45.08
2018-09,44.13
2018-10,45.11
2018-11,44.67
2018-12,43.95
2019-01,43.36
2019-02,44.85
2019-03,44.54
2019-04,46.09
2019-05,45.34
2019-06,44.74
2019-07,45.53
2019-08,45.3733
2019-09,43.73
2019-10,45.21
2019-11,46.68
2019-12,47.32
2020-01,47.77
2020-02,48.32
2020-03,48.5
2020-04,45.99
2020-05,49.7
2020-06,48.9
2020-07,49.84
2020-08,50.98
2020-09,52.5
2020-10,51.11
2020-11,52.78
2020-12,52.87
2021-01,53.1100
2021-02,53.8400
2021-03,55.7800
2021-04,55.2900
2021-05,56.6900
2021-06,57.0000
2021-07,57.2000
2021-08,58.1100
2021-09,59.0800
2021-10,57.8500
2021-11,58.8500
2021-12,58.3600
2022-01,57.5533
2022-02,59.6950
2022-03,59.3879
2022-04,58.7272
2022-05,56.1695
2022-06,53.6840
2022-07,54.7138
2022-08,53.6241
2022-09,52.1898
2022-10,49.7564
2022-11,50.1588
2022-12,52.6659
2023-01,54.5865
2023-02,54.1532
2023-03,54.7894
2023-04,57.2414
2023-05,56.0874
2023-06,56.2631
2023-07,57.8671
2023-08,58.2467
2023-09,57.3156
2023-10,55.4356
2023-11,53.9525
2023-12,55.3630
2024-01,55.5546
2024-02,56.0123
2024-03,58.0333
2024-04,58.7027
2024-05,58.1062
2024-06,58.6229
2024-07,59.4548
2024-08,60.6581
2024-09,60.0434
2024-10,60.5539
2024-11,59.7344
2024-12,58.6188
2025-01,59.1664
2025-02,57.4199
2025-03,58.5157
2025-04,58.1809
2025-05,59.9485
2025-06,61.2380
2025-07,61.4321
2025-08,61.3930
2025-09,61.8075
2025-10,61.5259
2025-11,60.5719
2025-12,60.2630
2026-01,61.3525
