month,rate
2015-02,23.24
2015-03,23.7
2015-04,22.08
2015-05,22.39
2015-06,23.6407
2015-07,23.735
2015-08,23.86
2015-09,23.82
2015-10,23.81
2015-11,23.6
2015-12,23.25
2016-01,23.27
2016-02,21.83
2016-03,22.11
2016-04,22.43
2016-05,21.7
2016-06,22.36
2016-07,22.37
2016-08,20.16
2016-09,20.33
2016-10,19.83
2016-11,18.93
2016-12,19.09
2017-01,19.03
2017-02,19.05
2017-03,19.21
2017-04,19.24
2017-05,19.74
2017-06,20.21
2017-07,19.6426
2017-08,20.14
2017-09,19.78
2017-10,20.9
2017-11,20.28
2017-12,20.33
2018-01,20.64
2018-02,21.91
2018-03,21.59
2018-04,21.74
2018-05,21.92
2018-06,20.67
2018-07,20.3
2018-08,20.09
2018-09,19.94
2018-10,20.26
2018-11,19.94
2018-12,19.75
2019-01,19.53
2019-02,20.31
2019-03,20.19
2019-04,20.45
2019-05,20.14
2019-06,19.55
2019-07,19.57
2019-08,19.3118
2019-09,18.8
2019-10,19.28
2019-11,19.83
2019-12,19.82
2020-01,20.19
2020-02,20.36
2020-03,19.91
2020-04,18.11
2020-05,19.01
2020-06,19.01
2020-07,19.32
2020-08,19.6
2020-09,20.31
2020-10,19.66
2020-11,20.28
2020-12,20.49
2021-01,20.7800
2021-02,20.9900
2021-03,21.6300
2021-04,21.1900
2021-05,21.5500
2021-06,21.9200
2021-07,21.5800
2021-08,21.0500
2021-09,21.2600
2021-10,21.0100
2021-11,21.3500
2021-12,20.8000
2022-01,20.4311
2022-02,21.0704
2022-03,20.9796
2022-04,20.4125
2022-05,20.1584
2022-06,19.1463
2022-07,18.9559
2022-08,18.4145
2022-09,18.1571
2022-10,17.5184
2022-11,17.4064
2022-12,18.5386
2023-01,19.1053
2023-02,19.0837
2023-03,18.4232
2023-04,18.8358
2023-05,19.1108
2023-06,18.9811
2023-07,19.5500
2023-08,19.8451
2023-09,19.4267
2023-10,19.0623
2023-11,18.7941
2023-12,19.3306
2024-01,19.4295
2024-02,19.5648
2024-03,19.4400
2024-04,19.5603
2024-05,19.1851
2024-06,19.5453
2024-07,19.6000
2024-08,20.0981
2024-09,20.0784
2024-10,20.3822
2024-11,19.9627
2024-12,19.5499
2025-01,19.6192
2025-02,19.0845
2025-03,19.4336
2025-04,20.0403
2025-05,20.4946
2025-06,20.7346
2025-07,20.7771
2025-08,20.9118
2025-09,20.8075
2025-10,21.0244
2025-11,20.5399
2025-12,20.2597
2026-01,20.5760
