month,rate
2015-02,691.59
2015-03,674.1
2015-04,644.59
2015-05,659.27
2015-06,695.324
2015-07,680.9124
2015-08,719.32
2015-09,830.08
2015-10,876.32
2015-11,847.17
2015-12,877.31
2016-01,958.16
2016-02,987.68
2016-03,1077.12
2016-04,996.06
2016-05,971.48
2016-06,1028.38
2016-07,1042.19
2016-08,945.52
2016-09,955
2016-10,934.52
2016-11,885.09
2016-12,894.37
2017-01,897.33
2017-02,895.59
2017-03,901.92
2017-04,903.68
2017-05,930.31
2017-06,940.14
2017-07,918.8081
2017-08,945.67
2017-09,928.47
2017-10,984.1
2017-11,953.85
2017-12,964.08
2018-01,972.47
2018-02,1032.37
2018-03,1015.08
2018-04,1020.23
2018-05,1032.71
2018-06,968.64
2018-07,956.36
2018-08,946.98
2018-09,937.41
2018-10,954.49
2018-11,940.81
2018-12,931.64
2019-01,925.89
2019-02,952.21
2019-03,953.45
2019-04,961.1
2019-05,958.98
2019-06,941.68
2019-07,974.37
2019-08,947.27
2019-09,888.45
2019-10,920.96
2019-11,943.81
2019-12,950.65
2020-01,962.55
2020-02,967.81
2020-03,953.97
2020-04,866.47
2020-05,907.8
2020-06,905.52
2020-07,924.27
2020-08,939.58
2020-09,987.17
2020-10,954.16
2020-11,993.62
2020-12,1008.76
2021-01,1033.1400
2021-02,1051.2700
2021-03,1094.1000
2021-04,1074.7500
2021-05,1099.1300
2021-06,1128.0800
2021-07,1124.3800
2021-08,1106.9900
2021-09,1117.7700
2021-10,1113.3900
2021-11,1128.0100
2021-12,1099.1900
2022-01,1081.5592
2022-02,1112.6710
2022-03,1109.3452
2022-04,1079.3577
2022-05,1065.0353
2022-06,1013.5918
2022-07,1257.5486
2022-08,1231.3576
2022-09,1213.3519
2022-10,1168.2721
2022-11,1155.6611
2022-12,1238.4082
2023-01,1275.2340
2023-02,1271.9619
2023-03,1229.8755
2023-04,1253.4033
2023-05,1277.9162
2023-06,1265.5127
2023-07,1341.2444
2023-08,1357.4955
2023-09,1368.9550
2023-10,1371.9540
2023-11,1407.9585
2023-12,2114.3579
2024-01,2123.7614
2024-02,2139.7146
2024-03,2120.9393
2024-04,2135.8325
2024-05,2166.0405
2024-06,2200.6105
2024-07,2207.4924
2024-08,2260.9819
2024-09,2256.6003
2024-10,2292.9161
2024-11,2249.2162
2024-12,2192.1788
2025-01,2200.0816
2025-02,2136.1936
2025-03,2181.3451
2025-04,2247.6505
2025-05,2300.6089
2025-06,2325.5545
2025-07,2332.1292
2025-08,2347.5940
2025-09,2336.4307
2025-10,2363.9631
2025-11,2311.2290
2025-12,2277.1723
2026-01,2313.5465
