month,rate
2015-02,22.08
2015-03,22.97
2015-04,22.6624
2015-05,23.24
2015-06,23.68
2015-07,24.2398
2015-08,25.14
2015-09,25.87
2015-10,25.93
2015-11,25.75
2015-12,25.48
2016-01,25.71
2016-02,25.71
2016-03,26.3
2016-04,24.73
2016-05,24.97
2016-06,26.86
2016-07,27.36
2016-08,24.42
2016-09,24.52
2016-10,25.73
2016-11,22.84
2016-12,25.71
2017-01,25.36
2017-02,26.88
2017-03,25.34
2017-04,23.78
2017-05,24.07
2017-06,24.05
2017-07,22.9712
2017-08,22.82
2017-09,22.67
2017-10,24
2017-11,24.83
2017-12,24.94
2018-01,25.78
2018-02,26.31
2018-03,26.05
2018-04,26.15
2018-05,25.6
2018-06,26.41
2018-07,26.88
2018-08,24.78
2018-09,24.29
2018-10,24.67
2018-11,25.1
2018-12,25.83
2019-01,25.31
2019-02,24.95
2019-03,25.08
2019-04,24.92
2019-05,24.55
2019-06,24.01
2019-07,24.22
2019-08,23.87
2019-09,23.92
2019-10,24.17
2019-11,24.64
2019-12,25.1
2020-01,24.76
2020-02,24.55
2020-03,24.09
2020-04,27.91
2020-05,30.28
2020-06,28.56
2020-07,27.95
2020-08,28.27
2020-09,29.05
2020-10,28.26
2020-11,27.75
2020-12,26.89
2021-01,26.9300
2021-02,26.7000
2021-03,29.1400
2021-04,28.5400
2021-05,27.6900
2021-06,28.0100
2021-07,28.3700
2021-08,27.6000
2021-09,27.5000
2021-10,27.3500
2021-11,27.8800
2021-12,27.8800
2022-01,28.0752
2022-02,27.8962
2022-03,27.6194
2022-04,26.6498
2022-05,26.0983
2022-06,24.8095
2022-07,24.6661
2022-08,24.5621
2022-09,23.5333
2022-10,22.6691
2022-11,22.6503
2022-12,23.3684
2023-01,24.4721
2023-02,23.1781
2023-03,22.3881
2023-04,22.6654
2023-05,22.4639
2023-06,22.0403
2023-07,21.8666
2023-08,21.6067
2023-09,21.3222
2023-10,21.0783
2023-11,21.9781
2023-12,21.5583
2024-01,21.6076
2024-02,21.9790
2024-03,21.5151
2024-04,21.3715
2024-05,21.1884
2024-06,21.1726
2024-07,23.4762
2024-08,23.1747
2024-09,24.7286
2024-10,25.2103
2024-11,26.0034
2024-12,25.6116
2025-01,25.6033
2025-02,25.4117
2025-03,25.5338
2025-04,25.8856
2025-05,26.5967
2025-06,25.8736
2025-07,25.4997
2025-08,25.2617
2025-09,25.3378
2025-10,24.9720
2025-11,24.5381
2025-12,24.0402
2026-01,23.9708
