month,rate
2015-02,5.4639
2015-03,5.5651
2015-04,5.4447
2015-05,5.4325
2015-06,5.6256
2015-07,5.9042
2015-08,5.93
2015-09,6.4204
2015-10,6.6197
2015-11,6.6171
2015-12,6.6787
2016-01,6.4768
2016-02,6.1739
2016-03,6.0379
2016-04,5.6348
2016-05,5.5711
2016-06,5.9201
2016-07,5.9187
2016-08,5.3068
2016-09,5.3512
2016-10,5.3645
2016-11,5.1538
2016-12,5.5082
2017-01,5.5429
2017-02,5.4858
2017-03,5.5401
2017-04,5.5233
2017-05,5.6366
2017-06,5.559
2017-07,5.4314
2017-08,5.5903
2017-09,5.4749
2017-10,5.6801
2017-11,5.5624
2017-12,5.4609
2018-01,5.4616
2018-02,5.5647
2018-03,5.46
2018-04,5.5213
2018-05,5.5365
2018-06,5.3133
2018-07,5.2776
2018-08,5.2966
2018-09,5.2895
2018-10,5.4493
2018-11,5.3798
2018-12,5.3597
2019-01,5.2835
2019-02,5.4044
2019-03,5.3131
2019-04,5.3637
2019-05,5.3951
2019-06,5.2991
2019-07,5.2718
2019-08,5.1479
2019-09,5.0675
2019-10,5.2231
2019-11,5.3943
2019-12,5.3785
2020-01,5.4095
2020-02,5.3436
2020-03,5.3891
2020-04,5.1418
2020-05,5.3869
2020-06,5.3411
2020-07,5.3677
2020-08,5.4141
2020-09,5.501
2020-10,5.3024
2020-11,5.4546
2020-12,5.4369
2021-01,5.4683
2021-02,5.5140
2021-03,5.6801
2021-04,5.6675
2021-05,5.7404
2021-06,5.8534
2021-07,5.8132
2021-08,5.7877
2021-09,5.8302
2021-10,5.7209
2021-11,5.7491
2021-12,5.6268
2022-01,5.5901
2022-02,5.7146
2022-03,5.6832
2022-04,5.5807
2022-05,5.5869
2022-06,5.4746
2022-07,5.4221
2022-08,5.3408
2022-09,5.3023
2022-10,5.1586
2022-11,5.3142
2022-12,5.5200
2023-01,5.4481
2023-02,5.3453
2023-03,5.2719
2023-04,5.4581
2023-05,5.5303
2023-06,5.6776
2023-07,5.9140
2023-08,5.8537
2023-09,5.8823
2023-10,5.7944
2023-11,5.7822
2023-12,5.8646
2024-01,5.8930
2024-02,5.9865
2024-03,6.0475
2024-04,6.0148
2024-05,5.9688
2024-06,5.9640
2024-07,5.9939
2024-08,6.0795
2024-09,5.7055
2024-10,5.6085
2024-11,5.6344
2024-12,5.6596
2025-01,5.6792
2025-02,5.4825
2025-03,5.5910
2025-04,5.7587
2025-05,5.8522
2025-06,5.7290
2025-07,5.7167
2025-08,5.7246
2025-09,5.6940
2025-10,5.7161
2025-11,5.6377
2025-12,5.4469
2026-01,5.4496
