month,rate
2015-02,48.8617
2015-03,52.096
2015-04,50.157
2015-05,52.57
2015-06,56.6224
2015-07,58.4618
2015-08,60.2
2015-09,61.11
2015-10,67.3
2015-11,65.99
2015-12,68.81
2016-01,78
2016-02,66.53
2016-03,69.95
2016-04,74
2016-05,72.88
2016-06,80.27
2016-07,92.43
2016-08,86.48
2016-09,95.4
2016-10,99.37
2016-11,96.26
2016-12,91.79
2017-01,89.51
2017-02,87.44
2017-03,87.82
2017-04,85.1
2017-05,83.84
2017-06,76.83
2017-07,76.3605
2017-08,79.69
2017-09,78.31
2017-10,82.88
2017-11,80.47
2017-12,81.36
2018-01,78.94
2018-02,84.75
2018-03,85.48
2018-04,87.2
2018-05,85.68
2018-06,79.09
2018-07,78.02
2018-08,76.33
2018-09,76.53
2018-10,79.97
2018-11,78.31
2018-12,78.48
2019-01,77.84
2019-02,81.14
2019-03,81.91
2019-04,82.75
2019-05,83.77
2019-06,80.32
2019-07,78.44
2019-08,76.8096
2019-09,73.69
2019-10,76.89
2019-11,80.47
2019-12,81.92
2020-01,82.47
2020-02,83.4
2020-03,83.92
2020-04,77.93
2020-05,83.17
2020-06,84.45
2020-07,86.5
2020-08,89.75
2020-09,93.6
2020-10,91.97
2020-11,95.94
2020-12,98.28
2021-01,100.9100
2021-02,101.7200
2021-03,105.5200
2021-04,98.9200
2021-05,77.3700
2021-06,83.7900
2021-07,88.3800
2021-08,87.0100
2021-09,87.5700
2021-10,87.0900
2021-11,88.1800
2021-12,85.9400
2022-01,84.3542
2022-02,87.0211
2022-03,86.6749
2022-04,81.3319
2022-05,83.2822
2022-06,79.2289
2022-07,78.6364
2022-08,76.6393
2022-09,75.4773
2022-10,72.4079
2022-11,71.8886
2022-12,77.0804
2023-01,79.2125
2023-02,79.1851
2023-03,76.6932
2023-04,78.1382
2023-05,79.5060
2023-06,78.9972
2023-07,81.3577
2023-08,82.3443
2023-09,80.6331
2023-10,78.9969
2023-11,77.8507
2023-12,80.0697
2024-01,80.8111
2024-02,81.0598
2024-03,80.5497
2024-04,81.0228
2024-05,79.5510
2024-06,80.8042
2024-07,81.2202
2024-08,83.2402
2024-09,83.2702
2024-10,84.4111
2024-11,82.7748
2024-12,80.9195
2025-01,81.1919
2025-02,78.9484
2025-03,80.4630
2025-04,82.9052
2025-05,84.9791
2025-06,85.6897
2025-07,85.9405
2025-08,86.5073
2025-09,86.0745
2025-10,87.1989
2025-11,85.1598
2025-12,83.8617
2026-01,85.2266
