month,rate
2015-02,281.25
2015-03,315.69
2015-04,293.64
2015-05,297.66
2015-06,314.3408
2015-07,309.7462
2015-08,311.12
2015-09,310.61
2015-10,310.29
2015-11,307.75
2015-12,302.16
2016-01,302.76
2016-02,285.1
2016-03,287.63
2016-04,288.85
2016-05,282.07
2016-06,291
2016-07,413.75
2016-08,388.42
2016-09,450.84
2016-10,408.59
2016-11,391.16
2016-12,390.87
2017-01,390.08
2017-02,388.49
2017-03,391.94
2017-04,382.98
2017-05,391.36
2017-06,407.57
2017-07,398.3612
2017-08,410.48
2017-09,462.53
2017-10,487.64
2017-11,474.77
2017-12,478.2
2018-01,482.61
2018-02,512.73
2018-03,503.22
2018-04,506.34
2018-05,513.15
2018-06,480.96
2018-07,473.67
2018-08,470.41
2018-09,466.01
2018-10,476.79
2018-11,469.61
2018-12,464.47
2019-01,458.94
2019-02,472.84
2019-03,472.91
2019-04,478.11
2019-05,470.09
2019-06,456.35
2019-07,455.36
2019-08,452.79
2019-09,438.82
2019-10,452.21
2019-11,467.51
2019-12,468.6
2020-01,475.45
2020-02,475.35
2020-03,473.37
2020-04,432.97
2020-05,476.09
2020-06,474.02
2020-07,484.98
2020-08,491.85
2020-09,508.24
2020-10,492.01
2020-11,504.78
2020-12,512.83
2021-01,524.3500
2021-02,538.1000
2021-03,578.5500
2021-04,561.8400
2021-05,569.3600
2021-06,582.4300
2021-07,574.8200
2021-08,562.7000
2021-09,566.7900
2021-10,563.2100
2021-11,571.5900
2021-12,557.0900
2022-01,546.7893
2022-02,566.6253
2022-03,564.8874
2022-04,550.2781
2022-05,542.7763
2022-06,515.1184
2022-07,510.8258
2022-08,510.7488
2022-09,503.2804
2022-10,493.7677
2022-11,496.2395
2022-12,535.1046
2023-01,552.6884
2023-02,570.6532
2023-03,552.6951
2023-04,563.5466
2023-05,573.6358
2023-06,574.6878
2023-07,879.1475
2023-08,1020.1931
2023-09,962.6793
2023-10,959.8714
2023-11,932.1157
2023-12,1024.4007
2024-01,1043.6390
2024-02,1136.3405
2024-03,2011.5792
2024-04,1897.6344
2024-05,1421.0544
2024-06,1850.8763
2024-07,1910.5933
2024-08,2090.3978
2024-09,2053.0729
2024-10,2165.7499
2024-11,2127.8911
2024-12,2123.4831
2025-01,1973.5952
2025-02,1919.1053
2025-03,1897.2684
2025-04,1992.2716
2025-05,2131.4969
2025-06,2135.0370
2025-07,2080.4230
2025-08,2070.1012
2025-09,2068.4741
2025-10,2035.6389
2025-11,1952.9458
2025-12,1903.3812
2026-01,1939.8094
