month,rate
2015-02,40.37
2015-03,41.27
2015-04,39.61
2015-05,40.35
2015-06,42.7691
2015-07,42.3234
2015-08,42.7
2015-09,42.79
2015-10,42.94
2015-11,42.7
2015-12,42.15
2016-01,42.37
2016-02,40.04
2016-03,40.6
2016-04,40.95
2016-05,40.15
2016-06,41.59
2016-07,41.93
2016-08,37.8
2016-09,38.19
2016-10,37.49
2016-11,35.69
2016-12,36.17
2017-01,36.23
2017-02,36.28
2017-03,36.74
2017-04,36.98
2017-05,38.11
2017-06,38.7
2017-07,37.9969
2017-08,39.27
2017-09,38.71
2017-10,41.19
2017-11,40.14
2017-12,40.68
2018-01,41.21
2018-02,43.93
2018-03,43.34
2018-04,43.77
2018-05,44.46
2018-06,41.86
2018-07,41.5
2018-08,41.25
2018-09,41
2018-10,41.93
2018-11,41.36
2018-12,41.09
2019-01,40.81
2019-02,42.36
2019-03,42.52
2019-04,43.09
2019-05,42.79
2019-06,41.7
2019-07,41.77
2019-08,41.52
2019-09,40.45
2019-10,41.78
2019-11,43.32
2019-12,43.54
2020-01,44.18
2020-02,44.54
2020-03,44
2020-04,40.05
2020-05,42.09
2020-06,41.99
2020-07,43.01
2020-08,43.79
2020-09,45.45
2020-10,44.12
2020-11,45.61
2020-12,46.2
2021-01,46.9600
2021-02,47.5200
2021-03,49.0700
2021-04,47.9900
2021-05,48.8000
2021-06,49.6300
2021-07,49.1000
2021-08,48.1400
2021-09,48.4000
2021-10,47.9300
2021-11,48.6900
2021-12,47.4100
2022-01,46.7893
2022-02,48.3216
2022-03,48.1444
2022-04,47.2526
2022-05,46.7166
2022-06,44.4553
2022-07,44.1341
2022-08,43.0553
2022-09,42.5143
2022-10,40.7252
2022-11,40.5661
2022-12,43.4599
2023-01,45.2820
2023-02,45.1070
2023-03,43.6875
2023-04,44.7657
2023-05,45.5298
2023-06,45.2949
2023-07,46.5356
2023-08,47.0741
2023-09,46.2178
2023-10,45.2683
2023-11,44.5783
2023-12,45.9376
2024-01,46.4830
2024-02,46.5153
2024-03,46.3527
2024-04,46.6196
2024-05,45.8374
2024-06,46.8039
2024-07,46.7932
2024-08,47.9859
2024-09,47.9126
2024-10,48.6282
2024-11,47.7120
2024-12,46.5475
2025-01,46.7285
2025-02,45.4055
2025-03,46.3084
2025-04,47.7283
2025-05,48.8234
2025-06,49.3525
2025-07,49.4902
2025-08,49.8187
2025-09,49.5807
2025-10,50.1698
2025-11,49.0168
2025-12,48.3110
2026-01,49.0820
