month,rate
2015-02,11.48
2015-03,11.56
2015-04,12.2698
2015-05,11.87
2015-06,11.77
2015-07,12.1571
2015-08,12.78
2015-09,13.04
2015-10,12.64
2015-11,12.64
2015-12,13.22
2016-01,13.09
2016-02,12.47
2016-03,12.29
2016-04,11.97
2016-05,11.71
2016-06,12.03
2016-07,12.18
2016-08,11.19
2016-09,10.91
2016-10,10.77
2016-11,10
2016-12,10.69
2017-01,10.71
2017-02,10.43
2017-03,10.4
2017-04,10.56
2017-05,10.97
2017-06,10.85
2017-07,10.8131
2017-08,10.51
2017-09,10.07
2017-10,10.57
2017-11,10.48
2017-12,10.88
2018-01,11.23
2018-02,11.03
2018-03,10.96
2018-04,10.89
2018-05,11.03
2018-06,10.82
2018-07,10.76
2018-08,10.66
2018-09,10.78
2018-10,10.73
2018-11,10.75
2018-12,10.91
2019-01,10.97
2019-02,11.21
2019-03,11.22
2019-04,11.26
2019-05,11.06
2019-06,11.08
2019-07,11.02
2019-08,10.79
2019-09,10.86
2019-10,11.14
2019-11,11.79
2019-12,11.79
2020-01,11.79
2020-02,11.81
2020-03,12.01
2020-04,13.03
2020-05,13.28
2020-06,12.15
2020-07,11.94
2020-08,11.61
2020-09,11.66
2020-10,12.04
2020-11,12.11
2020-12,11.97
2021-01,11.7300
2021-02,11.5900
2021-03,11.9300
2021-04,11.7500
2021-05,11.6200
2021-06,11.7400
2021-07,11.8800
2021-08,12.1800
2021-09,12.2400
2021-10,11.7600
2021-11,11.5400
2021-12,11.7600
2022-01,12.0350
2022-02,11.9617
2022-03,12.0800
2022-04,11.5061
2022-05,11.4765
2022-06,12.0924
2022-07,12.1736
2022-08,11.9313
2022-09,11.4120
2022-10,11.6692
2022-11,11.9366
2022-12,12.0206
2023-01,12.1046
2023-02,12.1970
2023-03,12.2727
2023-04,12.8255
2023-05,13.1443
2023-06,13.5461
2023-07,13.6078
2023-08,12.9284
2023-09,13.5085
2023-10,13.2761
2023-11,13.3770
2023-12,13.4416
2024-01,13.0325
2024-02,13.3097
2024-03,13.2278
2024-04,13.5609
2024-05,13.6887
2024-06,13.6069
2024-07,13.4400
2024-08,14.0077
2024-09,13.6929
2024-10,13.9805
2024-11,14.2533
2024-12,13.9852
2025-01,14.2560
2025-02,13.9064
2025-03,14.0375
2025-04,13.7095
2025-05,14.1123
2025-06,13.6149
2025-07,13.3788
2025-08,13.6667
2025-09,13.8394
2025-10,13.4068
2025-11,13.3892
2025-12,13.3032
2026-01,13.6296
