month,rate
2015-02,150.96
2015-03,153.84
2015-04,148.65
2015-05,149.2
2015-06,160.5104
2015-07,159.7447
2015-08,158.75
2015-09,162.34
2015-10,164.05
2015-11,160.25
2015-12,160.81
2016-01,162.78
2016-02,154.87
2016-03,157.76
2016-04,154.51
2016-05,151.08
2016-06,156.67
2016-07,158.5
2016-08,141.68
2016-09,142.28
2016-10,138.97
2016-11,131.18
2016-12,135.9
2017-01,134.39
2017-02,134.4
2017-03,133.28
2017-04,130.63
2017-05,132.35
2017-06,134.19
2017-07,130.7155
2017-08,134.22
2017-09,131.26
2017-10,139.49
2017-11,137.2
2017-12,138.01
2018-01,137.46
2018-02,144.9
2018-03,144.8
2018-04,146.74
2018-05,149.45
2018-06,146
2018-07,143.53
2018-08,143.29
2018-09,144.25
2018-10,152.62
2018-11,151.24
2018-12,146.14
2019-01,142.42
2019-02,149.1
2019-03,148.71
2019-04,145.27
2019-05,145.32
2019-06,141.1
2019-07,140.84
2019-08,137.96
2019-09,138.87
2019-10,142.29
2019-11,146.16
2019-12,148.35
2020-01,148.43
2020-02,149.68
2020-03,148.27
2020-04,139.76
2020-05,151.24
2020-06,148.81
2020-07,152.81
2020-08,152.28
2020-09,157.84
2020-10,150.24
2020-11,154.99
2020-12,157.9
2021-01,158.9100
2021-02,159.2900
2021-03,162.9700
2021-04,159.3000
2021-05,166.9000
2021-06,165.6100
2021-07,166.0100
2021-08,163.2500
2021-09,163.4200
2021-10,161.2800
2021-11,165.5000
2021-12,160.0000
2022-01,161.1915
2022-02,162.3240
2022-03,163.1139
2022-04,161.2969
2022-05,159.0700
2022-06,154.0763
2022-07,154.3605
2022-08,153.5306
2022-09,150.9640
2022-10,145.0108
2022-11,149.5102
2022-12,158.0193
2023-01,163.6628
2023-02,161.1163
2023-03,159.0130
2023-04,161.7755
2023-05,163.8003
2023-06,163.5662
2023-07,167.1284
2023-08,169.2659
2023-09,167.1642
2023-10,164.4604
2023-11,162.4293
2023-12,167.1966
2024-01,168.4720
2024-02,168.8955
2024-03,167.4975
2024-04,169.0102
2024-05,166.8259
2024-06,169.4670
2024-07,170.0464
2024-08,174.3221
2024-09,175.0580
2024-10,177.0424
2024-11,174.3263
2024-12,171.0141
2025-01,172.7775
2025-02,170.9350
2025-03,175.0097
2025-04,179.3854
2025-05,181.9067
2025-06,183.7561
2025-07,186.1378
2025-08,187.3090
2025-09,187.7989
2025-10,191.8957
2025-11,187.2063
2025-12,186.0657
2026-01,192.8469
