month,rate
2015-02,1.9674
2015-03,2.041
2015-04,1.9949
2015-05,1.9624
2015-06,2.1291
2015-07,2.273
2015-08,2.3789
2015-09,2.3865
2015-10,2.4313
2015-11,2.2969
2015-12,2.3629
2016-01,2.2171
2016-02,2.182
2016-03,2.1597
2016-04,2.1063
2016-05,2.0582
2016-06,2.1596
2016-07,2.0584
2016-08,1.8731
2016-09,1.8124
2016-10,1.7727
2016-11,1.7016
2016-12,1.7713
2017-01,1.7911
2017-02,1.7148
2017-03,1.7346
2017-04,1.7683
2017-05,1.8276
2017-06,1.84
2017-07,1.7521
2017-08,1.7717
2017-09,1.7734
2017-10,1.8359
2017-11,1.8447
2017-12,1.9381
2018-01,1.9234
2018-02,1.9163
2018-03,1.9044
2018-04,1.9593
2018-05,1.9398
2018-06,1.9315
2018-07,1.9183
2018-08,1.9239
2018-09,1.9273
2018-10,1.9885
2018-11,1.9749
2018-12,1.8676
2019-01,1.845
2019-02,1.9248
2019-03,1.9031
2019-04,1.9262
2019-05,1.9421
2019-06,1.9495
2019-07,1.9362
2019-08,1.8623
2019-09,1.8926
2019-10,1.9719
2019-11,2.0087
2019-12,2.0108
2020-01,1.9838
2020-02,1.9929
2020-03,2.0305
2020-04,2.0364
2020-05,2.0726
2020-06,1.9959
2020-07,1.9377
2020-08,1.9092
2020-09,1.9947
2020-10,1.9417
2020-11,1.9738
2020-12,1.9191
2021-01,1.9063
2021-02,1.9033
2021-03,1.9193
2021-04,1.9648
2021-05,1.9318
2021-06,1.9697
2021-07,1.9810
2021-08,1.9666
2021-09,1.9977
2021-10,1.9434
2021-11,1.9189
2021-12,1.9231
2022-01,1.9632
2022-02,2.0071
2022-03,2.0406
2022-04,1.8953
2022-05,1.9164
2022-06,1.9660
2022-07,1.9527
2022-08,1.9199
2022-09,1.9068
2022-10,1.9279
2022-11,1.9798
2022-12,1.9353
2023-01,1.9227
2023-02,1.9150
2023-03,1.9153
2023-04,1.9666
2023-05,2.0032
2023-06,2.0243
2023-07,2.0575
2023-08,2.0650
2023-09,2.1288
2023-10,2.0735
2023-11,2.0689
2023-12,2.0763
2024-01,2.0115
2024-02,2.0735
2024-03,2.0402
2024-04,2.1047
2024-05,2.1085
2024-06,2.0806
2024-07,2.0755
2024-08,2.1409
2024-09,2.1224
2024-10,2.1229
2024-11,2.1553
2024-12,2.1540
2025-01,2.2176
2025-02,2.1771
2025-03,2.2030
2025-04,2.2408
2025-05,2.2443
2025-06,2.2595
2025-07,2.2319
2025-08,2.2401
2025-09,2.3139
2025-10,2.2818
2025-11,2.3222
2025-12,2.3307
2026-01,2.3086
