month,rate
2015-02,0.5829
2015-03,0.5935
2015-04,0.568
2015-05,0.5759
2015-06,0.6079
2015-07,0.5994
2015-08,0.6019
2015-09,0.6013
2015-10,0.6003
2015-11,0.5946
2015-12,0.585
2016-01,0.5858
2016-02,0.551
2016-03,0.5566
2016-04,0.5587
2016-05,0.5458
2016-06,0.5631
2016-07,0.5649
2016-08,0.5074
2016-09,0.5102
2016-10,0.499
2016-11,0.4733
2016-12,0.4774
2017-01,0.4764
2017-02,0.4753
2017-03,0.4795
2017-04,0.4804
2017-05,0.4933
2017-06,0.4986
2017-07,0.4876
2017-08,0.5022
2017-09,0.4927
2017-10,0.5223
2017-11,0.5068
2017-12,0.51
2018-01,0.5161
2018-02,0.5476
2018-03,0.5382
2018-04,0.5416
2018-05,0.548
2018-06,0.5135
2018-07,0.5073
2018-08,0.5023
2018-09,0.4969
2018-10,0.5064
2018-11,0.497
2018-12,0.4919
2019-01,0.4868
2019-02,0.5029
2019-03,0.503
2019-04,0.5078
2019-05,0.5024
2019-06,0.4874
2019-07,0.4863
2019-08,0.4813
2019-09,0.467
2019-10,0.4807
2019-11,0.496
2019-12,0.4971
2020-01,0.5032
2020-02,0.5059
2020-03,0.4987
2020-04,0.4531
2020-05,0.4748
2020-06,0.4725
2020-07,0.4828
2020-08,0.4902
2020-09,0.5076
2020-10,0.4914
2020-11,0.5068
2020-12,0.5122
2021-01,0.5196
2021-02,0.5248
2021-03,0.5410
2021-04,0.5283
2021-05,0.5363
2021-06,0.5446
2021-07,0.5379
2021-08,0.5265
2021-09,0.5296
2021-10,0.5254
2021-11,0.5319
2021-12,0.5178
2022-01,0.5088
2022-02,0.5247
2022-03,0.5277
2022-04,0.5088
2022-05,0.5023
2022-06,0.4779
2022-07,0.4740
2022-08,0.4619
2022-09,0.4551
2022-10,0.4363
2022-11,0.4335
2022-12,0.4646
2023-01,0.4776
2023-02,0.4771
2023-03,0.4620
2023-04,0.4709
2023-05,0.4793
2023-06,0.4761
2023-07,0.4902
2023-08,0.4961
2023-09,0.4857
2023-10,0.4761
2023-11,0.4692
2023-12,0.4826
2024-01,0.4870
2024-02,0.4886
2024-03,0.4857
2024-04,0.4887
2024-05,0.4796
2024-06,0.4892
2024-07,0.4902
2024-08,0.5018
2024-09,0.5017
2024-10,0.5083
2024-11,0.4986
2024-12,0.4875
2025-01,0.4892
2025-02,0.4756
2025-03,0.4845
2025-04,0.4996
2025-05,0.5109
2025-06,0.5164
2025-07,0.5176
2025-08,0.5210
2025-09,0.5183
2025-10,0.5253
2025-11,0.5127
2025-12,0.5050
2026-01,0.5129
