month,rate
2015-02,4.5546
2015-03,4.7165
2015-04,4.5746
2015-05,4.6766
2015-06,4.9721
2015-07,4.9113
2015-08,4.9726
2015-09,5.0554
2015-10,4.9752
2015-11,5.0043
2015-12,5.0687
2016-01,5.1402
2016-02,4.9087
2016-03,5.0735
2016-04,4.8998
2016-05,4.6502
2016-06,4.8551
2016-07,4.8242
2016-08,4.3565
2016-09,4.4429
2016-10,4.3728
2016-11,4.156
2016-12,4.2497
2017-01,4.2014
2017-02,4.1311
2017-03,4.0445
2017-04,4.0581
2017-05,4.1646
2017-06,4.2486
2017-07,4.1407
2017-08,4.2287
2017-09,4.1453
2017-10,4.3984
2017-11,4.273
2017-12,4.3032
2018-01,4.3865
2018-02,4.5673
2018-03,4.5388
2018-04,4.5817
2018-05,4.5744
2018-06,4.3693
2018-07,4.3276
2018-08,4.2734
2018-09,4.2387
2018-10,4.3423
2018-11,4.3121
2018-12,4.315
2019-01,4.2323
2019-02,4.3555
2019-03,4.332
2019-04,4.3436
2019-05,4.2979
2019-06,4.2351
2019-07,4.2132
2019-08,4.115
2019-09,4.1009
2019-10,4.1723
2019-11,4.311
2019-12,4.3708
2020-01,4.3573
2020-02,4.3543
2020-03,4.3834
2020-04,4.1982
2020-05,4.1542
2020-06,4.1792
2020-07,4.3758
2020-08,4.4527
2020-09,4.6929
2020-10,4.5309
2020-11,4.7322
2020-12,4.7578
2021-01,4.8389
2021-02,4.9271
2021-03,5.1365
2021-04,5.1074
2021-05,5.1563
2021-06,5.3014
2021-07,5.5590
2021-08,5.4028
2021-09,5.6324
2021-10,5.6078
2021-11,5.4445
2021-12,5.3852
2022-01,5.3607
2022-02,5.2716
2022-03,5.2270
2022-04,4.9842
2022-05,4.8341
2022-06,4.6733
2022-07,4.5932
2022-08,4.6562
2022-09,4.5657
2022-10,4.4141
2022-11,4.4868
2022-12,4.6400
2023-01,4.7577
2023-02,4.7483
2023-03,4.6389
2023-04,4.6109
2023-05,4.7057
2023-06,4.5485
2023-07,4.6357
2023-08,4.6046
2023-09,4.7019
2023-10,4.5800
2023-11,4.6870
2023-12,4.6892
2024-01,4.7147
2024-02,4.7262
2024-03,4.7731
2024-04,4.6997
2024-05,4.6871
2024-06,4.7546
2024-07,4.8536
2024-08,4.8465
2024-09,4.8875
2024-10,4.9589
2024-11,4.8905
2024-12,4.7980
2025-01,4.7621
2025-02,4.5979
2025-03,4.6579
2025-04,4.7401
2025-05,4.9622
2025-06,4.9447
2025-07,4.8584
2025-08,4.8181
2025-09,4.7182
2025-10,4.7472
2025-11,4.5223
2025-12,4.4238
2026-01,4.4926
