month,rate
2015-02,3.9055
2015-03,4.0194
2015-04,3.9094
2015-05,4.0172
2015-06,4.2756
2015-07,4.2498
2015-08,4.3148
2015-09,4.3197
2015-10,4.4126
2015-11,4.4726
2015-12,4.4768
2016-01,4.5439
2016-02,4.3187
2016-03,4.3898
2016-04,4.4469
2016-05,4.426
2016-06,4.629
2016-07,4.6457
2016-08,4.1726
2016-09,4.2023
2016-10,4.1104
2016-11,3.8986
2016-12,3.9322
2017-01,3.9305
2017-02,3.9212
2017-03,3.956
2017-04,3.9652
2017-05,4.0763
2017-06,4.1197
2017-07,4.0291
2017-08,4.1491
2017-09,4.0713
2017-10,4.3332
2017-11,4.1951
2017-12,4.2669
2018-01,4.3135
2018-02,4.5982
2018-03,4.5339
2018-04,4.5767
2018-05,4.6318
2018-06,4.3392
2018-07,4.3014
2018-08,4.2951
2018-09,4.2772
2018-10,4.3725
2018-11,4.3364
2018-12,4.3051
2019-01,4.2604
2019-02,4.4008
2019-03,4.4023
2019-04,4.4517
2019-05,4.4039
2019-06,4.2722
2019-07,4.2774
2019-08,4.2478
2019-09,4.1217
2019-10,4.2488
2019-11,4.3674
2019-12,4.3955
2020-01,4.4564
2020-02,4.481
2020-03,4.4157
2020-04,4.0286
2020-05,4.2397
2020-06,4.2309
2020-07,4.342
2020-08,4.4237
2020-09,4.5809
2020-10,4.4501
2020-11,4.6055
2020-12,4.6735
2021-01,4.7400
2021-02,4.7873
2021-03,4.9663
2021-04,4.8187
2021-05,4.8927
2021-06,4.9668
2021-07,4.9058
2021-08,4.8014
2021-09,4.8339
2021-10,4.7912
2021-11,4.8418
2021-12,4.7277
2022-01,4.6402
2022-02,4.7864
2022-03,4.7688
2022-04,4.6553
2022-05,4.5974
2022-06,4.3736
2022-07,4.3124
2022-08,4.2270
2022-09,4.1661
2022-10,3.9835
2022-11,3.9672
2022-12,4.2513
2023-01,4.3713
2023-02,4.3664
2023-03,4.2314
2023-04,4.3116
2023-05,4.3743
2023-06,4.3739
2023-07,4.5348
2023-08,4.6089
2023-09,4.5598
2023-10,4.4970
2023-11,4.4972
2023-12,4.6699
2024-01,4.7135
2024-02,4.7403
2024-03,4.7509
2024-04,4.7794
2024-05,4.7296
2024-06,4.8896
2024-07,4.9122
2024-08,5.0418
2024-09,5.1015
2024-10,5.1617
2024-11,5.1178
2024-12,5.0496
2025-01,5.1097
2025-02,5.0273
2025-03,5.0582
2025-04,5.2799
2025-05,5.4859
2025-06,5.5248
2025-07,5.5353
2025-08,5.6883
2025-09,5.6922
2025-10,5.6999
2025-11,5.6100
2025-12,5.5517
2026-01,5.6707
