month,rate
2015-02,67.06
2015-03,68.02
2015-04,65.718
2015-05,66.5
2015-06,69.37
2015-07,70.9662
2015-08,70.73
2015-09,72.52
2015-10,71.3
2015-11,71.85
2015-12,71.69
2016-01,71.01
2016-02,67.38
2016-03,68.25
2016-04,65.44
2016-05,66.57
2016-06,68.22
2016-07,68.03
2016-08,62.08
2016-09,61.66
2016-10,62.06
2016-11,59.21
2016-12,61.82
2017-01,61.85
2017-02,61.46
2017-03,62.17
2017-04,62.74
2017-05,63.71
2017-06,64.72
2017-07,63.696
2017-08,66.4
2017-09,65.56
2017-10,69.15
2017-11,67.7
2017-12,67.26
2018-01,67.42
2018-02,72.49
2018-03,72.84
2018-04,73.33
2018-05,74.12
2018-06,69.98
2018-07,70.42
2018-08,69.81
2018-09,68.98
2018-10,71.01
2018-11,69.39
2018-12,66.9
2019-01,67.09
2019-02,68.89
2019-03,68.01
2019-04,69.67
2019-05,67.54
2019-06,66.49
2019-07,65.53
2019-08,63.96
2019-09,63.44
2019-10,65.16
2019-11,65.67
2019-12,65.7
2020-01,66.21
2020-02,66.9
2020-03,65.46
2020-04,60.05
2020-05,62.59
2020-06,62.16
2020-07,62.77
2020-08,62.87
2020-09,64.03
2020-10,61.89
2020-11,63.94
2020-12,64.16
2021-01,64.8700
2021-02,65.5000
2021-03,68.3800
2021-04,66.7900
2021-05,67.4700
2021-06,67.7200
2021-07,68.1500
2021-08,68.8500
2021-09,69.3600
2021-10,68.5800
2021-11,70.1665
2021-12,67.8300
2022-01,66.4539
2022-02,70.1825
2022-03,69.6502
2022-04,69.2307
2022-05,68.4831
2022-06,65.1066
2022-07,67.0844
2022-08,67.5340
2022-09,66.2864
2022-10,65.7224
2022-11,66.3689
2022-12,68.7190
2023-01,69.2070
2023-02,67.6667
2023-03,66.2274
2023-04,66.6960
2023-05,69.9941
2023-06,68.9774
2023-07,70.8500
2023-08,70.2530
2023-09,71.7176
2023-10,70.1383
2023-11,69.1491
2023-12,69.7244
2024-01,70.5297
2024-02,70.9449
2024-03,70.5776
2024-04,71.3589
2024-05,71.2926
2024-06,73.8042
2024-07,74.7975
2024-08,75.9283
2024-09,73.5794
2024-10,73.6344
2024-11,75.2452
2024-12,74.7009
2025-01,74.9198
2025-02,72.1270
2025-03,73.1956
2025-04,74.2540
2025-05,75.2962
2025-06,74.6294
2025-07,76.9419
2025-08,76.8810
2025-09,76.8615
2025-10,77.6053
2025-11,77.9113
2025-12,77.3109
2026-01,78.2266
