month,rate
2015-02,152.44
2015-03,156.33
2015-04,149.99
2015-05,151.86
2015-06,160.842
2015-07,158.4073
2015-08,159.15
2015-09,158.95
2015-10,162.7
2015-11,161.15
2015-12,160.11
2016-01,158.55
2016-02,150.13
2016-03,151.05
2016-04,151.86
2016-05,148.41
2016-06,153.09
2016-07,153.6
2016-08,138.13
2016-09,138.8
2016-10,135.73
2016-11,128.74
2016-12,129.97
2017-01,129.7
2017-02,129.36
2017-03,130.47
2017-04,130.77
2017-05,134.31
2017-06,135.73
2017-07,132.7807
2017-08,137.2
2017-09,134.82
2017-10,142.94
2017-11,138.77
2017-12,140.04
2018-01,148
2018-02,157.17
2018-03,154.51
2018-04,158.58
2018-05,164.5
2018-06,154.2
2018-07,159.75
2018-08,167.09
2018-09,159.42
2018-10,163.33
2018-11,170.63
2018-12,171.19
2019-01,175.57
2019-02,181.39
2019-03,181.06
2019-04,183.78
2019-05,184.44
2019-06,191.1
2019-07,198.25
2019-08,200.8
2019-09,192.14
2019-10,195.05
2019-11,200.57
2019-12,200.59
2020-01,202.47
2020-02,203.07
2020-03,199.73
2020-04,186.45
2020-05,197.63
2020-06,197.17
2020-07,207.47
2020-08,213.18
2020-09,221.68
2020-10,212.25
2020-11,213.29
2020-12,212.38
2021-01,216.2800
2021-02,218.1000
2021-03,223.4100
2021-04,213.0800
2021-05,213.0500
2021-06,216.6000
2021-07,221.4000
2021-08,220.2900
2021-09,225.7500
2021-10,229.8900
2021-11,239.3400
2021-12,233.9400
2022-01,235.1690
2022-02,240.1428
2022-03,238.4476
2022-04,239.7971
2022-05,242.2269
2022-06,243.0987
2022-07,260.4904
2022-08,269.9201
2022-09,259.3238
2022-10,271.6714
2022-11,247.3035
2022-12,270.1162
2023-01,279.1356
2023-02,283.6227
2023-03,318.3548
2023-04,346.1393
2023-05,353.4256
2023-06,354.2723
2023-07,366.0144
2023-08,365.8136
2023-09,378.6644
2023-10,358.8244
2023-11,340.9591
2023-12,357.2990
2024-01,357.3958
2024-02,355.3106
2024-03,352.6072
2024-04,353.3783
2024-05,346.6667
2024-06,353.9670
2024-07,354.6140
2024-08,362.9105
2024-09,363.7631
2024-10,367.4694
2024-11,360.0527
2024-12,351.3311
2025-01,353.2004
2025-02,343.7668
2025-03,351.6952
2025-04,363.3922
2025-05,372.1385
2025-06,378.0712
2025-07,381.1635
2025-08,385.6710
2025-09,381.9601
2025-10,386.3343
2025-11,377.1898
2025-12,370.9532
2026-01,373.7529
