month,rate
2015-02,5.6459
2015-03,5.6425
2015-04,5.8229
2015-05,5.5769
2015-06,5.5928
2015-07,5.7406
2015-08,5.9159
2015-09,5.8763
2015-10,5.758
2015-11,5.7526
2015-12,6.0004
2016-01,6.0382
2016-02,5.7627
2016-03,5.6695
2016-04,5.4758
2016-05,5.3878
2016-06,5.7002
2016-07,5.7358
2016-08,5.2259
2016-09,5.0777
2016-10,4.9991
2016-11,4.8348
2016-12,5.2111
2017-01,5.2308
2017-02,5.0372
2017-03,5.0784
2017-04,4.9424
2017-05,5.0802
2017-06,4.8456
2017-07,4.8284
2017-08,4.7677
2017-09,4.6414
2017-10,4.8296
2017-11,4.735
2017-12,4.7441
2018-01,4.7384
2018-02,4.7638
2018-03,4.7275
2018-04,4.8514
2018-05,4.7864
2018-06,4.9169
2018-07,4.9137
2018-08,4.829
2018-09,4.7679
2018-10,4.8357
2018-11,4.8828
2018-12,4.8262
2019-01,4.7397
2019-02,4.9254
2019-03,4.9917
2019-04,4.9767
2019-05,4.9308
2019-06,4.8871
2019-07,4.8089
2019-08,4.7727
2019-09,4.7592
2019-10,4.9
2019-11,4.9536
2019-12,5.0127
2020-01,5.0201
2020-02,5.0315
2020-03,5.1298
2020-04,4.9168
2020-05,5.1687
2020-06,5.0613
2020-07,4.9815
2020-08,4.852
2020-09,4.8847
2020-10,4.9337
2020-11,5.0645
2020-12,5.0023
2021-01,4.9191
2021-02,5.1054
2021-03,5.2048
2021-04,5.3659
2021-05,5.2778
2021-06,5.2374
2021-07,5.2930
2021-08,5.3234
2021-09,5.3520
2021-10,5.3757
2021-11,5.4405
2021-12,5.5441
2022-01,5.4312
2022-02,5.4361
2022-03,5.3673
2022-04,5.6531
2022-05,5.5651
2022-06,5.4756
2022-07,5.4549
2022-08,5.6008
2022-09,5.6375
2022-10,5.4765
2022-11,5.5131
2022-12,5.4687
2023-01,5.4569
2023-02,5.3851
2023-03,5.3554
2023-04,5.3162
2023-05,5.2485
2023-06,5.1760
2023-07,5.1556
2023-08,5.1149
2023-09,5.2315
2023-10,5.3661
2023-11,5.1268
2023-12,5.0321
2024-01,5.0170
2024-02,5.1280
2024-03,5.0385
2024-04,5.0637
2024-05,5.0997
2024-06,5.0112
2024-07,5.1288
2024-08,5.1175
2024-09,5.0235
2024-10,5.0706
2024-11,5.2239
2024-12,5.2022
2025-01,5.1534
2025-02,5.0103
2025-03,5.0400
2025-04,4.9804
2025-05,5.0180
2025-06,5.0273
2025-07,4.9969
2025-08,4.9144
2025-09,4.9169
2025-10,4.9035
2025-11,4.8690
2025-12,4.7923
2026-01,4.7961
