month,rate
2015-02,7198.27
2015-03,7370.04
2015-04,7074.19
2015-05,7444.83
2015-06,7993.1898
2015-07,8002.4968
2015-08,8045.9
2015-09,8174.87
2015-10,8529.88
2015-11,8751.09
2015-12,8561.5
2016-01,8816.33
2016-02,8473.06
2016-03,8411.17
2016-04,8258.67
2016-05,7909.24
2016-06,8180.39
2016-07,8191.34
2016-08,7319.93
2016-09,7313.27
2016-10,7214.37
2016-11,6896.38
2016-12,7205.83
2017-01,7111.46
2017-02,7066.02
2017-03,7124.08
2017-04,6979.73
2017-05,7112.08
2017-06,7255.74
2017-07,7050.8486
2017-08,7219.97
2017-09,7184.21
2017-10,7698.19
2017-11,7430.88
2017-12,7523.27
2018-01,7554.26
2018-02,7967.2
2018-03,7805.8
2018-04,7801.71
2018-05,7898.71
2018-06,7565.58
2018-07,7514.89
2018-08,7472.11
2018-09,7494.06
2018-10,7710.63
2018-11,7734.49
2018-12,7574.58
2019-01,7515.16
2019-02,7897.03
2019-03,7937.78
2019-04,8104.29
2019-05,8117.04
2019-06,8005.57
2019-07,7815.81
2019-08,7497.49
2019-09,7449.44
2019-10,7933.93
2019-11,8335.27
2019-12,8361.28
2020-01,8436.83
2020-02,8577.12
2020-03,8461.81
2020-04,7763.8
2020-05,8004.8
2020-06,8100.22
2020-07,8412.41
2020-08,8874.79
2020-09,9181.82
2020-10,8940.7
2020-11,9260.01
2020-12,9356.47
2021-01,9412.7000
2021-02,9380.1900
2021-03,9305.3400
2021-04,8902.8000
2021-05,8985.5900
2021-06,9483.8300
2021-07,9490.5700
2021-08,9341.9100
2021-09,9536.6000
2021-10,9383.5300
2021-11,9560.4600
2021-12,9216.5400
2022-01,8981.4739
2022-02,9503.1289
2022-03,9419.5663
2022-04,9197.1529
2022-05,8947.8573
2022-06,8489.5841
2022-07,8478.2550
2022-08,8221.6491
2022-09,8109.9186
2022-10,7922.9509
2022-11,8063.6837
2022-12,8670.8686
2023-01,8948.5619
2023-02,9201.0710
2023-03,8752.3599
2023-04,8786.2576
2023-05,8874.2484
2023-06,8955.6703
2023-07,9263.8483
2023-08,9372.6158
2023-09,9198.3530
2023-10,8996.6200
2023-11,8998.4917
2023-12,9295.7066
2024-01,9253.1915
2024-02,9234.1898
2024-03,9201.8160
2024-04,9288.8007
2024-05,9225.4545
2024-06,9515.5614
2024-07,9551.2032
2024-08,9833.8308
2024-09,9860.4217
2024-10,10279.2609
2024-11,10258.7288
2024-12,9876.7534
2025-01,9926.6010
2025-02,9730.0462
2025-03,9892.5392
2025-04,10325.9210
2025-05,10585.9169
2025-06,10709.7423
2025-07,10730.3888
2025-08,10491.8296
2025-09,9757.4894
2025-10,9720.9173
2025-11,9443.4768
2025-12,9236.4794
2026-01,8953.7537
