month,rate
2015-02,5.5129
2015-03,5.6148
2015-04,5.3721
2015-05,5.4455
2015-06,5.7484
2015-07,5.6682
2015-08,5.693
2015-09,5.6841
2015-10,5.678
2015-11,5.6228
2015-12,5.5306
2016-01,5.5403
2016-02,5.2103
2016-03,5.2633
2016-04,5.2844
2016-05,5.1629
2016-06,5.322
2016-07,5.3416
2016-08,4.7979
2016-09,4.8252
2016-10,4.7198
2016-11,4.4761
2016-12,4.5145
2017-01,4.5061
2017-02,4.4938
2017-03,4.5343
2017-04,4.5428
2017-05,4.6649
2017-06,4.7157
2017-07,4.6574
2017-08,4.7488
2017-09,4.6593
2017-10,4.9392
2017-11,4.7964
2017-12,4.8369
2018-01,4.8812
2018-02,5.1786
2018-03,5.0896
2018-04,5.1211
2018-05,5.1828
2018-06,4.8576
2018-07,4.7974
2018-08,4.7512
2018-09,4.7002
2018-10,4.789
2018-11,4.7013
2018-12,4.6528
2019-01,4.6036
2019-02,4.7559
2019-03,4.7566
2019-04,4.8016
2019-05,4.7508
2019-06,4.6095
2019-07,4.5995
2019-08,4.5511
2019-09,4.4176
2019-10,4.5452
2019-11,4.6903
2019-12,4.7013
2020-01,4.7582
2020-02,4.7844
2020-03,4.7156
2020-04,4.2831
2020-05,4.4882
2020-06,4.4675
2020-07,4.5658
2020-08,4.6365
2020-09,4.8003
2020-10,4.648
2020-11,4.7925
2020-12,4.8436
2021-01,4.9142
2021-02,4.9633
2021-03,5.1160
2021-04,4.9958
2021-05,5.0717
2021-06,5.1514
2021-07,5.0870
2021-08,4.9789
2021-09,5.0089
2021-10,4.9683
2021-11,5.0315
2021-12,4.9033
2022-01,4.8117
2022-02,4.9623
2022-03,4.9441
2022-04,4.8115
2022-05,4.7516
2022-06,4.5203
2022-07,4.4827
2022-08,4.3688
2022-09,4.3049
2022-10,4.1266
2022-11,4.1002
2022-12,4.3940
2023-01,4.5180
2023-02,4.5129
2023-03,4.3709
2023-04,4.4542
2023-05,4.5318
2023-06,4.5011
2023-07,4.6345
2023-08,4.6907
2023-09,4.5976
2023-10,4.5015
2023-11,4.4363
2023-12,4.5631
2024-01,4.6050
2024-02,4.6193
2024-03,4.5917
2024-04,4.6203
2024-05,4.5345
2024-06,4.6261
2024-07,4.6344
2024-08,4.7441
2024-09,4.7438
2024-10,4.8088
2024-11,4.7146
2024-12,4.6090
2025-01,4.6253
2025-02,4.4978
2025-03,4.5810
2025-04,4.7240
2025-05,4.8306
2025-06,4.8820
2025-07,4.8963
2025-08,4.9289
2025-09,4.9043
2025-10,4.9677
2025-11,4.8513
2025-12,4.7777
2026-01,4.8516
