month,rate
2015-02,5.8924
2015-03,5.996
2015-04,6.2343
2015-05,6.1426
2015-06,6.1341
2015-07,6.1818
2015-08,6.3641
2015-09,6.2244
2015-10,6.0617
2015-11,5.9958
2015-12,6.293
2016-01,6.2583
2016-02,5.9289
2016-03,5.7541
2016-04,5.7476
2016-05,5.6174
2016-06,5.8292
2016-07,5.9103
2016-08,5.3511
2016-09,5.2497
2016-10,5.1748
2016-11,5.0435
2016-12,5.3119
2017-01,5.3574
2017-02,5.1898
2017-03,5.3174
2017-04,5.2636
2017-05,5.426
2017-06,5.2655
2017-07,5.2244
2017-08,5.1754
2017-09,4.9674
2017-10,5.1982
2017-11,5.1309
2017-12,5.2428
2018-01,5.2195
2018-02,5.3591
2018-03,5.2881
2018-04,5.3523
2018-05,5.3522
2018-06,5.2772
2018-07,5.3189
2018-08,5.2145
2018-09,5.1732
2018-10,5.2423
2018-11,5.2801
2018-12,5.2298
2019-01,5.1589
2019-02,5.4649
2019-03,5.4721
2019-04,5.525
2019-05,5.4996
2019-06,5.407
2019-07,5.3265
2019-08,5.2934
2019-09,5.1645
2019-10,5.3488
2019-11,5.5132
2019-12,5.5793
2020-01,5.6107
2020-02,5.6692
2020-03,5.7358
2020-04,5.2723
2020-05,5.5105
2020-06,5.4052
2020-07,5.4028
2020-08,5.3131
2020-09,5.3629
2020-10,5.3251
2020-11,5.4037
2020-12,5.4594
2021-01,5.3939
2021-02,5.4890
2021-03,5.6445
2021-04,5.6688
2021-05,5.7039
2021-06,5.7064
2021-07,5.7592
2021-08,5.7129
2021-09,5.7857
2021-10,5.7569
2021-11,5.8665
2021-12,5.8934
2022-01,5.8137
2022-02,5.9409
2022-03,5.9050
2022-04,5.9394
2022-05,5.9369
2022-06,5.8421
2022-07,5.7459
2022-08,5.7998
2022-09,5.7668
2022-10,5.6710
2022-11,5.6601
2022-12,5.7369
2023-01,5.7374
2023-02,5.6483
2023-03,5.5110
2023-04,5.5766
2023-05,5.6005
2023-06,5.7032
2023-07,5.7672
2023-08,5.6890
2023-09,5.7730
2023-10,5.7445
2023-11,5.7384
2023-12,5.7167
2024-01,5.7493
2024-02,5.8038
2024-03,5.8133
2024-04,5.8219
2024-05,5.8287
2024-06,5.8400
2024-07,5.8944
2024-08,5.9219
2024-09,5.8356
2024-10,5.9085
2024-11,5.9849
2024-12,5.9695
2025-01,6.0232
2025-02,5.8888
2025-03,6.0092
2025-04,5.9215
2025-05,5.8144
2025-06,6.0071
2025-07,5.8800
2025-08,5.8546
2025-09,5.8547
2025-10,5.8413
2025-11,5.8485
2025-12,5.7651
2026-01,5.7961
