month,rate
2015-02,159.742
2015-03,163.714
2015-04,168.4
2015-05,166.63
2015-06,166.3535
2015-07,166.2619
2015-08,172.94
2015-09,168.5
2015-10,164.51
2015-11,162.77
2015-12,170.51
2016-01,169.37
2016-02,160.71
2016-03,157.79
2016-04,157.83
2016-05,154.24
2016-06,159.11
2016-07,161.06
2016-08,147.73
2016-09,145.39
2016-10,143.71
2016-11,137.98
2016-12,145.21
2017-01,146.63
2017-02,142.99
2017-03,145.91
2017-04,143.14
2017-05,147.74
2017-06,142.06
2017-07,138.3594
2017-08,136.62
2017-09,129.24
2017-10,134.66
2017-11,133.12
2017-12,134.29
2018-01,134.57
2018-02,136.38
2018-03,133.88
2018-04,135.79
2018-05,135.91
2018-06,134.64
2018-07,134.36
2018-08,132.21
2018-09,131.42
2018-10,133.2
2018-11,134.36
2018-12,132.75
2019-01,130.89
2019-02,135.98
2019-03,136.01
2019-04,136.92
2019-05,136.21
2019-06,133.87
2019-07,132.76
2019-08,132.23
2019-09,128.84
2019-10,132.66
2019-11,136.26
2019-12,137.21
2020-01,138.04
2020-02,139.46
2020-03,141.06
2020-04,127.62
2020-05,133.93
2020-06,131.24
2020-07,131.36
2020-08,129.16
2020-09,130.28
2020-10,128.59
2020-11,130.35
2020-12,131.67
2021-01,130.1900
2021-02,132.4000
2021-03,136.0800
2021-04,136.3500
2021-05,136.1100
2021-06,136.1500
2021-07,137.2500
2021-08,136.4100
2021-09,138.1200
2021-10,136.7500
2021-11,139.4300
2021-12,140.0100
2022-01,138.0420
2022-02,141.2849
2022-03,140.4954
2022-04,141.4076
2022-05,141.2914
2022-06,138.7096
2022-07,136.4028
2022-08,137.9292
2022-09,138.8262
2022-10,134.5439
2022-11,134.8657
2022-12,136.4245
2023-01,136.7640
2023-02,134.2801
2023-03,131.8907
2023-04,132.9823
2023-05,133.2590
2023-06,134.7533
2023-07,136.3220
2023-08,134.9467
2023-09,136.9348
2023-10,135.4330
2023-11,135.2436
2023-12,134.7457
2024-01,135.5414
2024-02,136.7554
2024-03,136.9006
2024-04,137.2152
2024-05,137.2165
2024-06,137.4730
2024-07,138.6518
2024-08,139.4852
2024-09,137.2516
2024-10,139.0424
2024-11,140.8463
2024-12,140.3359
2025-01,141.6500
2025-02,138.5900
2025-03,141.4775
2025-04,139.4374
2025-05,136.9458
2025-06,138.8821
2025-07,137.0299
2025-08,135.2929
2025-09,135.5959
2025-10,135.0721
2025-11,134.8809
2025-12,132.8126
2026-01,133.3492
