month,rate
2015-02,98.28
2015-03,96.71
2015-04,90.97
2015-05,78.55
2015-06,78.1943
2015-07,85.9022
2015-08,89.2575
2015-09,100.94
2015-10,102.52
2015-11,95.35
2015-12,101.53
2016-01,106.16
2016-02,111.19
2016-03,113.87
2016-04,98.76
2016-05,94.45
2016-06,95.41
2016-07,94.09
2016-08,83.55
2016-09,86.21
2016-10,83.29
2016-11,76.5
2016-12,80.19
2017-01,75.61
2017-02,73.22
2017-03,71.37
2017-04,72.17
2017-05,72.15
2017-06,73.02
2017-07,75.36
2017-08,77.03
2017-09,75.61
2017-10,78.5
2017-11,75.55
2017-12,78.02
2018-01,78.64
2018-02,80
2018-03,79.09
2018-04,80.58
2018-05,87.12
2018-06,82.17
2018-07,83.83
2018-08,82.25
2018-09,87.56
2018-10,87.85
2018-11,84.51
2018-12,84.16
2019-01,85.28
2019-02,86.35
2019-03,85.78
2019-04,84.81
2019-05,83.41
2019-06,81.41
2019-07,80.74
2019-08,78.8095
2019-09,79.94
2019-10,80.11
2019-11,82.29
2019-12,82.46
2020-01,81.81
2020-02,81.54
2020-03,82.41
2020-04,94.36
2020-05,93.79
2020-06,87.4
2020-07,87.35
2020-08,90.47
2020-09,96.33
2020-10,98.1
2020-11,100.98
2020-12,101
2021-01,99.2400
2021-02,110.0700
2021-03,104.4900
2021-04,104.9000
2021-05,106.6700
2021-06,104.3300
2021-07,101.3800
2021-08,101.2500
2021-09,101.4200
2021-10,99.2500
2021-11,97.9300
2021-12,97.5200
2022-01,97.9166
2022-02,104.2822
2022-03,171.7470
2022-04,128.4863
2022-05,107.3157
2022-06,80.0606
2022-07,66.0996
2022-08,66.5803
2022-09,71.2808
2022-10,69.5467
2022-11,69.8057
2022-12,73.1470
2023-01,80.4841
2023-02,85.3811
2023-03,89.5354
2023-04,94.2465
2023-05,101.8102
2023-06,99.3570
2023-07,107.0128
2023-08,117.9109
2023-09,119.1271
2023-10,119.3831
2023-11,118.3985
2023-12,110.5910
2024-01,114.7414
2024-02,113.0815
2024-03,116.3131
2024-04,117.6287
2024-05,117.1895
2024-06,114.6374
2024-07,106.0948
2024-08,114.7099
2024-09,119.4096
2024-10,121.2952
2024-11,124.9204
2024-12,126.8436
2025-01,131.1380
2025-02,122.0757
2025-03,113.0350
2025-04,108.6812
2025-05,109.5133
2025-06,107.0854
2025-07,105.5405
2025-08,106.3218
2025-09,107.9730
2025-10,113.3010
2025-11,108.6903
2025-12,105.9667
2026-01,107.1069
