month,rate
2015-02,1041.74
2015-03,1060.79
2015-04,1040.02
2015-05,1030.6
2015-06,1088.8619
2015-07,1089.8334
2015-08,1133.97
2015-09,1136.09
2015-10,1141.41
2015-11,1138.25
2015-12,1132.53
2016-01,1134.99
2016-02,1072.46
2016-03,1101.89
2016-04,1098.41
2016-05,1098.36
2016-06,1140.69
2016-07,1150.76
2016-08,1034.92
2016-09,1058.23
2016-10,1043.03
2016-11,992.74
2016-12,1006.06
2017-01,1007.99
2017-02,1014.58
2017-03,1026.84
2017-04,1035.42
2017-05,1056.86
2017-06,1090.68
2017-07,1060.9922
2017-08,1095.63
2017-09,1077.85
2017-10,1146.05
2017-11,1124.09
2017-12,1136.36
2018-01,1143.69
2018-02,1212.66
2018-03,1198.66
2018-04,1216.38
2018-05,1228.43
2018-06,1159.89
2018-07,1151.57
2018-08,1143.09
2018-09,1135.82
2018-10,1161.41
2018-11,1144.7
2018-12,1136.6
2019-01,1128.3
2019-02,1169.9
2019-03,1174.21
2019-04,1189.05
2019-05,1180.81
2019-06,1145.64
2019-07,1150.49
2019-08,1144.68
2019-09,1114.38
2019-10,1147.85
2019-11,1188.35
2019-12,1204.45
2020-01,1220.21
2020-02,1228.68
2020-03,1221.97
2020-04,1112.23
2020-05,1158.36
2020-06,1153.98
2020-07,1182.61
2020-08,1210.23
2020-09,1259.06
2020-10,1231.63
2020-11,1279.85
2020-12,1298.89
2021-01,1322.0500
2021-02,1347.4800
2021-03,1380.5100
2021-04,1353.3200
2021-05,1378.7100
2021-06,1402.9200
2021-07,1386.0700
2021-08,1361.4900
2021-09,1373.2900
2021-10,1367.9600
2021-11,1394.4900
2021-12,1362.8800
2022-01,1346.6546
2022-02,1387.5678
2022-03,1392.6648
2022-04,1355.5471
2022-05,1330.1934
2022-06,1272.7770
2022-07,1261.6783
2022-08,1245.8313
2022-09,1229.6236
2022-10,1177.9038
2022-11,1177.6893
2022-12,1274.1160
2023-01,1317.5199
2023-02,1340.8181
2023-03,1305.2245
2023-04,1340.2196
2023-05,1381.3948
2023-06,1390.3178
2023-07,1464.1848
2023-08,1507.7126
2023-09,1467.8530
2023-10,1483.9100
2023-11,1486.4108
2023-12,1550.2922
2024-01,1592.8420
2024-02,1609.2424
2024-03,1605.8100
2024-04,1633.2200
2024-05,1604.9608
2024-06,1647.4170
2024-07,1654.8127
2024-08,1707.2041
2024-09,1751.8573
2024-10,1766.3743
2024-11,1752.0049
2024-12,1735.5355
2025-01,1741.4897
2025-02,1725.3237
2025-03,1771.9466
2025-04,1839.2822
2025-05,1885.1731
2025-06,1911.9592
2025-07,1918.6380
2025-08,1954.6758
2025-09,1949.7833
2025-10,1973.5025
2025-11,1934.7172
2025-12,1909.1178
2026-01,1942.7514
