month,rate
2015-02,5.6779
2015-03,5.7605
2015-04,5.5078
2015-05,5.6403
2015-06,5.8334
2015-07,5.8918
2015-08,5.8634
2015-09,5.8689
2015-10,5.7119
2015-11,5.7981
2015-12,5.7041
2016-01,5.6292
2016-02,5.3044
2016-03,5.37
2016-04,5.29
2016-05,5.4015
2016-06,5.4831
2016-07,5.5025
2016-08,4.9424
2016-09,4.9692
2016-10,4.8608
2016-11,4.6117
2016-12,4.6505
2017-01,4.6417
2017-02,4.6293
2017-03,4.67
2017-04,4.6782
2017-05,4.8044
2017-06,4.85
2017-07,4.7495
2017-08,4.8907
2017-09,4.7984
2017-10,5.0868
2017-11,4.9394
2017-12,4.9817
2018-01,5.0274
2018-02,5.3337
2018-03,5.2424
2018-04,5.275
2018-05,5.3383
2018-06,5.0034
2018-07,4.9416
2018-08,4.8938
2018-09,4.8417
2018-10,4.9331
2018-11,4.8434
2018-12,4.7943
2019-01,4.744
2019-02,4.8989
2019-03,4.8995
2019-04,4.9461
2019-05,4.8935
2019-06,4.7475
2019-07,4.737
2019-08,4.6882
2019-09,4.5494
2019-10,4.6827
2019-11,4.8316
2019-12,4.8423
2020-01,4.9029
2020-02,4.9294
2020-03,4.8576
2020-04,4.4154
2020-05,4.6288
2020-06,4.608
2020-07,4.704
2020-08,4.7746
2020-09,4.9446
2020-10,4.7872
2020-11,4.9366
2020-12,4.9892
2021-01,5.0632
2021-02,5.1144
2021-03,5.2699
2021-04,5.1458
2021-05,5.2238
2021-06,5.3050
2021-07,5.2388
2021-08,5.1292
2021-09,5.1594
2021-10,5.1184
2021-11,5.1819
2021-12,5.0504
2022-01,4.9579
2022-02,5.1128
2022-03,5.0954
2022-04,4.9559
2022-05,4.8932
2022-06,4.6777
2022-07,4.6186
2022-08,4.5083
2022-09,4.4432
2022-10,4.2635
2022-11,4.2317
2022-12,4.5348
2023-01,4.6647
2023-02,4.6544
2023-03,4.5025
2023-04,4.5942
2023-05,4.6691
2023-06,4.6374
2023-07,4.7764
2023-08,4.8340
2023-09,4.7365
2023-10,4.6375
2023-11,4.5703
2023-12,4.7010
2024-01,4.7442
2024-02,4.7589
2024-03,4.7304
2024-04,4.7599
2024-05,4.6716
2024-06,4.7659
2024-07,4.7745
2024-08,4.8875
2024-09,4.8872
2024-10,4.9541
2024-11,4.8571
2024-12,4.7483
2025-01,4.7651
2025-02,4.6337
2025-03,4.7195
2025-04,4.8668
2025-05,4.9766
2025-06,5.0296
2025-07,5.0442
2025-08,5.0778
2025-09,5.0525
2025-10,5.1178
2025-11,4.9979
2025-12,4.9221
2026-01,4.9982
