month,rate
2015-02,11.53
2015-03,12
2015-04,11.54
2015-05,11.73
2015-06,12.1291
2015-07,12.3076
2015-08,12.36
2015-09,12.43
2015-10,12.41
2015-11,12.35
2015-12,12
2016-01,12.26
2016-02,11.67
2016-03,11.75
2016-04,11.41
2016-05,11.22
2016-06,11.39
2016-07,11.47
2016-08,10.23
2016-09,10.33
2016-10,10.08
2016-11,9.5554
2016-12,9.6678
2017-01,9.6483
2017-02,9.6166
2017-03,9.7096
2017-04,9.712
2017-05,9.9887
2017-06,10.09
2017-07,9.8748
2017-08,10.1215
2017-09,9.8612
2017-10,10.47
2017-11,10.2
2017-12,10.31
2018-01,10.41
2018-02,11.04
2018-03,10.85
2018-04,10.77
2018-05,11.06
2018-06,10.49
2018-07,10.39
2018-08,10.19
2018-09,10.08
2018-10,10.27
2018-11,10.35
2018-12,10.23
2019-01,10.04
2019-02,10.46
2019-03,10.43
2019-04,10.54
2019-05,10.43
2019-06,10.14
2019-07,10.12
2019-08,10.0277
2019-09,9.7199
2019-10,10
2019-11,10.46
2019-12,10.47
2020-01,10.75
2020-02,10.9
2020-03,10.66
2020-04,9.746
2020-05,10.18
2020-06,10.16
2020-07,10.45
2020-08,10.38
2020-09,10.84
2020-10,10.33
2020-11,10.7
2020-12,10.76
2021-01,10.9200
2021-02,10.9000
2021-03,11.2700
2021-04,10.9500
2021-05,11.1000
2021-06,11.2900
2021-07,11.1700
2021-08,10.9600
2021-09,11.1200
2021-10,10.9900
2021-11,11.1200
2021-12,10.8300
2022-01,10.6405
2022-02,11.1076
2022-03,11.0443
2022-04,10.6936
2022-05,10.5392
2022-06,10.0915
2022-07,10.0318
2022-08,9.7532
2022-09,9.6498
2022-10,9.1753
2022-11,9.2628
2022-12,9.9304
2023-01,10.2402
2023-02,10.3052
2023-03,9.8378
2023-04,10.0584
2023-05,10.2469
2023-06,10.3956
2023-07,10.6322
2023-08,10.7746
2023-09,10.6414
2023-10,10.4626
2023-11,10.3281
2023-12,10.6234
2024-01,10.7210
2024-02,10.5426
2024-03,10.4853
2024-04,10.5306
2024-05,10.3545
2024-06,10.4618
2024-07,10.5487
2024-08,10.8331
2024-09,10.8324
2024-10,11.0722
2024-11,10.8699
2024-12,10.6396
2025-01,10.6771
2025-02,10.4934
2025-03,10.7457
2025-04,11.0367
2025-05,11.2802
2025-06,11.4074
2025-07,11.4524
2025-08,11.5094
2025-09,11.4500
2025-10,11.5931
2025-11,11.3073
2025-12,10.8139
2026-01,10.8698
