month,rate
2015-02,21.16
2015-03,21.5
2015-04,20.39
2015-05,20.2
2015-06,21.3587
2015-07,20.5511
2015-08,20.57
2015-09,20.38
2015-10,20.36
2015-11,19.68
2015-12,19.91
2016-01,20.01
2016-02,18.34
2016-03,21
2016-04,19.29
2016-05,19
2016-06,19.38
2016-07,19.37
2016-08,17.39
2016-09,17.66
2016-10,17.23
2016-11,16.37
2016-12,16.73
2017-01,16.52
2017-02,16.68
2017-03,16.83
2017-04,16.79
2017-05,17.47
2017-06,17.68
2017-07,17.299
2017-08,17.59
2017-09,17.33
2017-10,18.52
2017-11,17.97
2017-12,18.19
2018-01,18.25
2018-02,19.66
2018-03,19.32
2018-04,19.26
2018-05,19.57
2018-06,18.38
2018-07,18.19
2018-08,17.99
2018-09,17.88
2018-10,18.23
2018-11,17.88
2018-12,17.74
2019-01,17.51
2019-02,18.2
2019-03,18.2
2019-04,18.39
2019-05,18.17
2019-06,17.6
2019-07,17.55
2019-08,17.4675
2019-09,16.89
2019-10,17.4
2019-11,17.97
2019-12,18
2020-01,18.16
2020-02,18.34
2020-03,18.06
2020-04,16.36
2020-05,21.81
2020-06,22.06
2020-07,22.38
2020-08,22.99
2020-09,24
2020-10,23.36
2020-11,25.07
2020-12,27.9
2021-01,28.5700
2021-02,28.9700
2021-03,29.9200
2021-04,29.1400
2021-05,21.7300
2021-06,22.8500
2021-07,22.4500
2021-08,21.3800
2021-09,20.6200
2021-10,19.6800
2021-11,20.2600
2021-12,19.5700
2022-01,19.4085
2022-02,20.0585
2022-03,19.5903
2022-04,19.1048
2022-05,18.8112
2022-06,17.9223
2022-07,17.3870
2022-08,16.9226
2022-09,16.7389
2022-10,16.1972
2022-11,16.1968
2022-12,17.3070
2023-01,17.6889
2023-02,17.6377
2023-03,16.8601
2023-04,17.0944
2023-05,17.3297
2023-06,17.3163
2023-07,17.7208
2023-08,18.1626
2023-09,16.8483
2023-10,16.3508
2023-11,15.7803
2023-12,17.1067
2024-01,16.7932
2024-02,16.9791
2024-03,17.3801
2024-04,17.3567
2024-05,16.9714
2024-06,17.4071
2024-07,17.6934
2024-08,17.8010
2024-09,18.8230
2024-10,17.6791
2024-11,17.9133
2024-12,17.1351
2025-01,18.1051
2025-02,18.0570
2025-03,18.1084
2025-04,18.8160
2025-05,19.0547
2025-06,19.4205
2025-07,19.8596
2025-08,19.6572
2025-09,19.7936
2025-10,20.2601
2025-11,18.2772
2025-12,18.3013
2026-01,18.1251
