month,rate
2015-02,9.0274
2015-03,9.2071
2015-04,8.7473
2015-05,8.8665
2015-06,9.3579
2015-07,9.2991
2015-08,9.3401
2015-09,9.564
2015-10,9.5153
2015-11,9.4121
2015-12,9.2601
2016-01,9.8176
2016-02,8.7237
2016-03,8.8258
2016-04,8.8517
2016-05,8.6482
2016-06,8.8803
2016-07,8.9201
2016-08,8.0336
2016-09,8.0697
2016-10,7.8816
2016-11,7.4793
2016-12,8.0537
2017-01,8.0185
2017-02,7.9413
2017-03,8.0009
2017-04,8.3381
2017-05,8.5502
2017-06,8.6495
2017-07,8.4573
2017-08,8.7072
2017-09,8.5404
2017-10,9.0569
2017-11,8.7938
2017-12,8.8708
2018-01,8.9262
2018-02,9.9831
2018-03,25.29
2018-04,25.53
2018-05,25.84
2018-06,24.11
2018-07,23.8
2018-08,23.49
2018-09,23.31
2018-10,23.67
2018-11,60.86
2018-12,60.84
2019-01,60.21
2019-02,62.2
2019-03,62.23
2019-04,62.77
2019-05,62.14
2019-06,57.1
2019-07,56.99
2019-08,56.4016
2019-09,54.71
2019-10,56.32
2019-11,58.1
2019-12,58.24
2020-01,58.97
2020-02,59.55
2020-03,68.31
2020-04,65.05
2020-05,68.16
2020-06,67.85
2020-07,69.37
2020-08,70.46
2020-09,72.9
2020-10,70.57
2020-11,72.72
2020-12,73.59
2021-01,74.5700
2021-02,75.3100
2021-03,77.6300
2021-04,70.7700
2021-05,531.4100
2021-06,579.9600
2021-07,615.3300
2021-08,610.5600
2021-09,614.2500
2021-10,601.0800
2021-11,607.1700
2021-12,590.4200
2022-01,578.1760
2022-02,596.2684
2022-03,602.9086
2022-04,591.2352
2022-05,583.8759
2022-06,564.7684
2022-07,561.9084
2022-08,547.6379
2022-09,674.3897
2022-10,651.5581
2022-11,638.9471
2022-12,685.9232
2023-01,704.0419
2023-02,721.2164
2023-03,700.9206
2023-04,725.9140
2023-05,747.0027
2023-06,742.5498
2023-07,765.8323
2023-08,773.8302
2023-09,758.8263
2023-10,743.2344
2023-11,732.3886
2023-12,687.8863
2024-01,760.2841
2024-02,762.6293
2024-03,757.7077
2024-04,745.9346
2024-05,729.3457
2024-06,763.7534
2024-07,765.1364
2024-08,783.2802
2024-09,783.8917
2024-10,794.5486
2024-11,779.0630
2024-12,761.6495
2025-01,764.0112
2025-02,742.5802
2025-03,756.3721
2025-04,779.6884
2025-05,796.9242
2025-06,805.3988
2025-07,807.6766
2025-08,813.0938
2025-09,809.0225
2025-10,820.7513
2025-11,801.4762
2025-12,787.3727
2026-01,799.5853
