month,rate
2015-02,12.29
2015-03,12.86
2015-04,12.8524
2015-05,13.12
2015-06,13
2015-07,12.9043
2015-08,13.47
2015-09,13.42
2015-10,12.84
2015-11,12.85
2015-12,13.28
2016-01,12.76
2016-02,12.08
2016-03,12.21
2016-04,11.66
2016-05,11.66
2016-06,12.11
2016-07,12.1
2016-08,11.32
2016-09,11.15
2016-10,11.15
2016-11,10.87
2016-12,11.52
2017-01,11.41
2017-02,10.99
2017-03,11.12
2017-04,10.97
2017-05,11.5
2017-06,11.27
2017-07,11.1111
2017-08,10.8
2017-09,10.33
2017-10,10.78
2017-11,10.73
2017-12,11.14
2018-01,11.22
2018-02,11.28
2018-03,11.31
2018-04,11.57
2018-05,11.94
2018-06,11.71
2018-07,11.71
2018-08,11.56
2018-09,11.7
2018-10,11.68
2018-11,11.74
2018-12,11.56
2019-01,11.46
2019-02,11.78
2019-03,12.16
2019-04,12.11
2019-05,12.05
2019-06,12.2
2019-07,12.03
2019-08,11.7884
2019-09,11.67
2019-10,12.11
2019-11,12.43
2019-12,12.42
2020-01,12.29
2020-02,12.51
2020-03,12.68
2020-04,12.05
2020-05,12.43
2020-06,11.74
2020-07,11.72
2020-08,11.26
2020-09,11.42
2020-10,11.46
2020-11,11.48
2020-12,11.41
2021-01,11.2900
2021-02,11.3800
2021-03,11.6200
2021-04,11.7900
2021-05,11.7200
2021-06,11.7900
2021-07,11.8400
2021-08,11.8900
2021-09,11.9900
2021-10,11.8100
2021-11,11.8600
2021-12,11.9300
2022-01,12.0591
2022-02,12.4183
2022-03,12.6324
2022-04,12.4930
2022-05,12.3123
2022-06,12.3862
2022-07,12.3782
2022-08,12.2731
2022-09,12.5117
2022-10,12.4837
2022-11,12.5878
2022-12,12.6294
2023-01,12.6559
2023-02,12.7073
2023-03,12.5221
2023-04,12.6578
2023-05,12.8625
2023-06,13.2565
2023-07,13.6240
2023-08,13.2359
2023-09,13.9105
2023-10,13.7392
2023-11,13.3489
2023-12,13.1124
2024-01,12.8667
2024-02,13.2806
2024-03,13.0950
2024-04,13.3117
2024-05,13.6634
2024-06,13.6603
2024-07,13.2727
2024-08,13.7127
2024-09,13.3439
2024-10,13.4479
2024-11,13.7301
2024-12,13.9286
2025-01,13.9198
2025-02,13.5600
2025-03,13.5083
2025-04,13.0798
2025-05,13.0472
2025-06,12.8514
2025-07,12.8855
2025-08,12.8813
2025-09,12.9351
2025-10,12.6356
2025-11,12.5648
2025-12,12.4529
2026-01,12.4522
