month,rate
2015-02,2.0148
2015-03,2.0905
2015-04,2.0407
2015-05,2.0248
2015-06,2.0808
2015-07,2.1181
2015-08,2.1359
2015-09,2.1984
2015-10,2.1705
2015-11,2.1546
2015-12,2.1651
2016-01,2.1138
2016-02,2.0316
2016-03,2.0134
2016-04,1.9282
2016-05,1.9326
2016-06,2.014
2016-07,1.9691
2016-08,1.7892
2016-09,1.7964
2016-10,1.7625
2016-11,1.7052
2016-12,1.7785
2017-01,1.7859
2017-02,1.7544
2017-03,1.7717
2017-04,1.7445
2017-05,1.7907
2017-06,1.79
2017-07,1.7619
2017-08,1.7844
2017-09,1.7418
2017-10,1.8224
2017-11,1.7884
2017-12,1.7929
2018-01,1.8031
2018-02,1.8616
2018-03,1.8454
2018-04,1.8531
2018-05,1.8646
2018-06,1.795
2018-07,1.7894
2018-08,1.7823
2018-09,1.7643
2018-10,1.8021
2018-11,1.782
2018-12,1.7537
2019-01,1.7309
2019-02,1.776
2019-03,1.7646
2019-04,1.7808
2019-05,1.7649
2019-06,1.7459
2019-07,1.7258
2019-08,1.7049
2019-09,1.6781
2019-10,1.7154
2019-11,1.7561
2019-12,1.7578
2020-01,1.7713
2020-02,1.7731
2020-03,1.8063
2020-04,1.6999
2020-05,1.76
2020-06,1.7341
2020-07,1.747
2020-08,1.7617
2020-09,1.8006
2020-10,1.7496
2020-11,1.782
2020-12,1.7833
2021-01,1.7942
2021-02,1.8068
2021-03,1.8590
2021-04,1.8457
2021-05,1.8504
2021-06,1.8847
2021-07,1.8781
2021-08,1.8666
2021-09,1.8716
2021-10,1.8437
2021-11,1.8557
2021-12,1.8282
2022-01,1.8095
2022-02,1.8364
2022-03,1.8250
2022-04,1.7935
2022-05,1.7792
2022-06,1.7283
2022-07,1.7071
2022-08,1.6691
2022-09,1.6463
2022-10,1.6044
2022-11,1.6030
2022-12,1.6629
2023-01,1.6712
2023-02,1.6323
2023-03,1.6050
2023-04,1.6306
2023-05,1.6608
2023-06,1.6684
2023-07,1.7091
2023-08,1.7090
2023-09,1.7149
2023-10,1.6854
2023-11,1.6695
2023-12,1.6802
2024-01,1.6831
2024-02,1.7054
2024-03,1.6959
2024-04,1.7065
2024-05,1.6976
2024-06,1.7156
2024-07,1.7196
2024-08,1.7471
2024-09,1.7034
2024-10,1.7093
2024-11,1.7127
2024-12,1.7004
2025-01,1.7165
2025-02,1.6717
2025-03,1.6907
2025-04,1.7298
2025-05,1.7437
2025-06,1.7301
2025-07,1.7287
2025-08,1.7290
2025-09,1.7323
2025-10,1.7421
2025-11,1.7315
2025-12,1.7114
2026-01,1.7223
