month,rate
2022-11,15631.1792
2023-03,23.9705
2023-04,26.2678
2023-05,28.0364
2023-06,27.9296
2023-07,23.4057
2023-08,26.2640
2023-09,27.5005
2023-10,27.9466
2023-11,27.3245
2023-12,28.2561
2024-01,28.7371
2024-02,28.8659
2024-03,28.7501
2024-04,28.7437
2024-05,28.1535
2024-06,28.7825
2024-07,28.5837
2024-08,29.3882
2024-09,29.2695
2024-10,29.8901
2024-11,29.4009
2024-12,28.6160
2025-01,28.9181
2025-02,28.1099
2025-03,28.7309
2025-04,29.6162
2025-05,30.1886
2025-06,30.5797
2025-07,30.6353
2025-08,30.7782
2025-09,30.6112
2025-10,31.0890
2025-11,30.2405
2025-12,30.0508
2026-01,30.6023
