month,rate
2015-02,6389.71
2015-03,6707.05
2015-04,6476.16
2015-05,6566.54
2015-06,6845.8546
2015-07,6554.5704
2015-08,6316.34
2015-09,7239.41
2015-10,6805.65
2015-11,6795.99
2015-12,6817.97
2016-01,6466.14
2016-02,5909.62
2016-03,5915.77
2016-04,5885.85
2016-05,5611.48
2016-06,5764.45
2016-07,5789.57
2016-08,7307.2
2016-09,7460.01
2016-10,7317.74
2016-11,6939.4
2016-12,6943.41
2017-01,6861.35
2017-02,9220.17
2017-03,9274.64
2017-04,9418.67
2017-05,9639.9
2017-06,9679.38
2017-07,9336.2574
2017-08,9914.84
2017-09,9692.15
2017-10,10309
2017-11,10075.06
2017-12,10185.17
2018-01,10279.11
2018-02,10933.88
2018-03,10770.5
2018-04,10780.9
2018-05,11095.77
2018-06,10379.69
2018-07,10626.39
2018-08,10373.99
2018-09,10746.79
2018-10,11048.56
2018-11,10846.12
2018-12,10637.61
2019-01,10809.79
2019-02,11004.73
2019-03,11222.02
2019-04,11790.46
2019-05,11711.52
2019-06,10918.41
2019-07,11336.8
2019-08,11499.57
2019-09,11281.34
2019-10,11734.45
2019-11,12281.1
2019-12,12524.7
2020-01,12744.27
2020-02,12976.17
2020-03,12692.49
2020-04,11528.2
2020-05,12142.06
2020-06,12052.15
2020-07,12351.88
2020-08,12636.07
2020-09,13183.91
2020-10,12731.18
2020-11,13294.21
2020-12,13635.58
2021-01,13631.8800
2021-02,13945.1300
2021-03,14351.7700
2021-04,14022.8600
2021-05,14215.0800
2021-06,14521.6000
2021-07,14314.8300
2021-08,14016.3400
2021-09,14238.5600
2021-10,14286.8900
2021-11,14660.4900
2021-12,14736.1100
2022-01,14953.4275
2022-02,15505.1020
2022-03,15446.1624
2022-04,15404.5702
2022-05,16138.0123
2022-06,16043.1497
2022-07,16186.4157
2022-08,16472.9991
2022-09,16411.4683
2022-10,15731.7795
2022-12,16750.8677
2023-01,17223.6508
2023-02,23.6617
