month,rate
2015-02,1083.26
2015-03,1070.47
2015-04,1011.99
2015-05,1012.65
2015-06,1058.0674
2015-07,1089.8334
2015-08,1063.14
2015-09,1047.35
2015-10,997.84
2015-11,988.5
2015-12,922.88
2016-01,928.08
2016-02,875.71
2016-03,883.31
2016-04,892.45
2016-05,869.08
2016-06,899.09
2016-07,848.77
2016-08,765.64
2016-09,777.8
2016-10,758.86
2016-11,722.82
2016-12,676.98
2017-01,689.22
2017-02,712.18
2017-03,721
2017-04,722.3
2017-05,742.36
2017-06,754.92
2017-07,743.405
2017-08,762.93
2017-09,759.37
2017-10,797.59
2017-11,777.03
2017-12,787.71
2018-01,797.66
2018-02,829.19
2018-03,814.95
2018-04,819.99
2018-05,822.75
2018-06,763.13
2018-07,764.2
2018-08,756.84
2018-09,746.14
2018-10,759.58
2018-11,748.89
2018-12,742.39
2019-01,733.29
2019-02,757.59
2019-03,759.02
2019-04,769.54
2019-05,759.45
2019-06,737.38
2019-07,738.94
2019-08,724.97
2019-09,703.56
2019-10,725.28
2019-11,747.15
2019-12,748.89
2020-01,758.12
2020-02,762.14
2020-03,758.31
2020-04,690.51
2020-05,714.96
2020-06,717.79
2020-07,729.82
2020-08,742.24
2020-09,767.96
2020-10,742.81
2020-11,767.37
2020-12,775.56
2021-01,788.2100
2021-02,793.3500
2021-03,820.5800
2021-04,802.6700
2021-05,816.2600
2021-06,827.5100
2021-07,817.1800
2021-08,799.9500
2021-09,804.7800
2021-10,797.5800
2021-11,809.5600
2021-12,789.0200
2022-01,773.1039
2022-02,797.2960
2022-03,793.0150
2022-04,772.8996
2022-05,755.4506
2022-06,720.5452
2022-07,718.2334
2022-08,693.2305
2022-09,670.2524
2022-10,657.2238
2022-11,641.1989
2022-12,686.0456
2023-01,705.6730
2023-02,704.0005
2023-03,682.1990
2023-04,695.3578
2023-05,707.9946
2023-06,702.9801
2023-07,723.8166
2023-08,733.8823
2023-09,719.5476
2023-10,706.9963
2023-11,695.2227
2023-12,717.5372
2024-01,720.3767
2024-02,725.6646
2024-03,720.6312
2024-04,724.7563
2024-05,710.7760
2024-06,725.8587
2024-07,726.5185
2024-08,744.0722
2024-09,739.2969
2024-10,754.2485
2024-11,736.9370
2024-12,723.0656
2025-01,724.9594
2025-02,703.9568
2025-03,717.4147
2025-04,741.2410
2025-05,756.8643
2025-06,765.7488
2025-07,768.6956
2025-08,772.7522
2025-09,769.1566
2025-10,779.8941
2025-11,761.7248
2025-12,747.8634
2026-01,761.7101
