month,rate
2015-02,4.9588
2015-03,5.0341
2015-04,4.8682
2015-05,4.9361
2015-06,5.2114
2015-07,5.1378
2015-08,5.1594
2015-09,5.1509
2015-10,5.1452
2015-11,5.097
2015-12,5.0132
2016-01,6.0858
2016-02,5.7236
2016-03,5.7828
2016-04,5.8046
2016-05,8.1358
2016-06,9.3835
2016-07,10.31
2016-08,9.3946
2016-09,9.5827
2016-10,10.1
2016-11,8.6309
2016-12,9.0252
2017-01,9.1344
2017-02,9.2214
2017-03,9.3817
2017-04,9.4137
2017-05,9.6681
2017-06,9.7603
2017-07,9.5332
2017-08,9.7525
2017-09,9.5169
2017-10,10.08
2017-11,9.7959
2017-12,9.8803
2018-01,9.9983
2018-02,10.62
2018-03,10.43
2018-04,10.5
2018-05,10.63
2018-06,9.9634
2018-07,9.8398
2018-08,9.732
2018-09,9.6276
2018-10,9.8095
2018-11,9.6298
2018-12,9.5298
2019-01,9.4292
2019-02,9.7416
2019-03,9.7432
2019-04,9.8359
2019-05,9.732
2019-06,9.4411
2019-07,9.4206
2019-08,9.3222
2019-09,9.0469
2019-10,9.3102
2019-11,9.6074
2019-12,9.6298
2020-01,9.7484
2020-02,9.8001
2020-03,9.6592
2020-04,8.7732
2020-05,9.1934
2020-06,9.1509
2020-07,9.3523
2020-08,9.4952
2020-09,9.8326
2020-10,18.06
2020-11,18.63
2020-12,18.82
2021-01,19.1000
2021-02,19.2900
2021-03,19.8800
2021-04,19.4200
2021-05,19.7100
2021-06,20.0200
2021-07,29.6700
2021-08,27.8800
2021-09,29.4500
2021-10,29.2100
2021-11,29.5500
2021-12,28.9300
2022-01,28.4707
2022-02,28.8192
2022-03,28.1514
2022-04,27.4723
2022-05,27.0703
2022-06,26.0315
2022-07,26.9981
2022-08,27.1930
2022-09,29.2523
2022-10,31.0969
2022-11,32.1292
2022-12,37.2673
2023-01,39.2936
2023-02,39.3181
2023-03,39.0541
2023-04,42.3727
2023-05,46.4903
2023-06,45.7296
2023-07,48.5091
2023-08,49.5599
2023-09,48.5986
2023-10,47.5538
2023-11,46.4283
2023-12,47.5996
2024-01,46.9918
2024-02,46.5271
2024-03,44.8169
2024-04,44.7375
2024-05,43.1624
2024-06,41.1412
2024-07,40.0493
2024-08,38.6259
2024-09,37.5680
2024-10,39.7162
2024-11,43.6546
2024-12,44.9691
2025-01,45.0679
2025-02,43.5520
2025-03,44.5691
2025-04,47.4648
2025-05,48.7084
2025-06,49.1488
2025-07,52.2917
2025-08,49.7126
2025-09,50.7581
2025-10,52.0553
2025-11,53.0420
2025-12,50.6428
2026-01,51.6147
