month,rate
2015-02,32047
2015-03,33196
2015-04,12101.8
2015-05,33371.22
2015-06,32965.905
2015-07,34006.6947
2015-08,35294.94
2015-09,34335.68
2015-10,33443.51
2015-11,33269.49
2015-12,34522.83
2016-01,33958.64
2016-02,32140.91
2016-03,31299.24
2016-04,31482.63
2016-05,30708.59
2016-06,31768.07
2016-07,31735.55
2016-08,29360.6
2016-09,28809.84
2016-10,28449.22
2016-11,27342.74
2016-12,29013.53
2017-01,29208.68
2017-02,28309.75
2017-03,28889.85
2017-04,28224.8
2017-05,29425.7
2017-06,28397.17
2017-07,28020.1619
2017-08,27700.25
2017-09,26741.38
2017-10,27767.83
2017-11,27327.8
2017-12,27809.14
2018-01,27911.46
2018-02,27645.24
2018-03,27943.2
2018-04,27824.15
2018-05,28153.7
2018-06,28043.91
2018-07,27906.6
2018-08,27611.8
2018-09,27418.8
2018-10,27687.2
2018-11,27567.2
2018-12,27568.4
2019-01,27119.3
2019-02,28187.8
2019-03,28251
2019-04,28520
2019-05,28316.4
2019-06,27849.90
2019-07,27694.6
2019-08,27511.5
2019-09,26596.1
2019-10,27755.7
2019-11,28469.1
2019-12,28716.4
2020-01,29017.7
2020-02,29237.5
2020-03,29594.2
2020-04,28409
2020-05,28043
2020-06,27607
2020-07,27587.90
2020-08,27258.30
2020-09,27050
2020-10,26993.9
2020-11,274769
2020-12,27603.7
2021-01,27547.2000
2021-02,27931.1000
2021-03,28664.2000
2021-04,28608.3000
2021-05,28625.2000
2021-06,28927.5000
2021-07,29125.4000
2021-08,28921.5000
2021-09,28776.9000
2021-10,28860.3000
2021-11,29247.7000
2021-12,29756.7000
2022-01,29338.3000
2022-02,29847.5000
2022-03,29602.3000
2022-04,29660.8000
2022-05,29748.3000
2022-06,29107.3000
2022-07,28741.6000
2022-08,28791.6000
2022-09,29316.2000
2022-10,25552.4000
2022-11,28569.7000
2022-12,28648.6000
2023-01,28548.8000
2023-02,28055.6000
2023-03,27449.6000
2023-04,27754.1000
2023-05,27905.2000
2023-06,28141.3000
2023-07,29029.1000
2023-08,28414.6000
2023-09,28690.9000
