month,rate
2015-02,13.24
2015-03,13.48
2015-04,12.65
2015-05,12.63
2015-06,13.5763
2015-07,13.7196
2015-08,13.67
2015-09,13.65
2015-10,13.51
2015-11,13.61
2015-12,13.2
2016-01,13.29
2016-02,12.51
2016-03,12.64
2016-04,12.68
2016-05,12.39
2016-06,12.77
2016-07,12.83
2016-08,11.53
2016-09,11.61
2016-10,11.34
2016-11,10.76
2016-12,10.85
2017-01,10.8
2017-02,10.8
2017-03,10.89
2017-04,10.91
2017-05,11.2
2017-06,11.33
2017-07,11.0833
2017-08,11.41
2017-09,11.19
2017-10,11.86
2017-11,11.52
2017-12,11.63
2018-01,11.72
2018-02,12.45
2018-03,12.23
2018-04,12.3
2018-05,12.44
2018-06,11.67
2018-07,11.53
2018-08,11.42
2018-09,11.29
2018-10,11.5
2018-11,11.3
2018-12,11.18
2019-01,11.06
2019-02,11.43
2019-03,11.43
2019-04,11.53
2019-05,11.41
2019-06,11.07
2019-07,11.05
2019-08,10.9398
2019-09,10.61
2019-10,10.92
2019-11,11.27
2019-12,11.29
2020-01,11.43
2020-02,11.49
2020-03,11.33
2020-04,10.29
2020-05,10.78
2020-06,10.73
2020-07,11.02
2020-08,11.13
2020-09,11.53
2020-10,11.16
2020-11,11.51
2020-12,11.64
2021-01,11.8100
2021-02,11.9200
2021-03,12.2900
2021-04,12.0000
2021-05,12.1800
2021-06,12.3800
2021-07,12.2200
2021-08,11.9600
2021-09,12.0300
2021-10,11.9400
2021-11,12.0800
2021-12,11.8000
2022-01,11.5631
2022-02,11.9268
2022-03,11.8844
2022-04,11.5561
2022-05,11.4218
2022-06,10.8614
2022-07,10.7684
2022-08,10.4861
2022-09,10.3378
2022-10,9.9232
2022-11,9.8533
2022-12,10.5589
2023-01,10.8613
2023-02,10.8397
2023-03,10.5003
2023-04,10.7032
2023-05,10.8967
2023-06,10.8063
2023-07,11.1399
2023-08,11.2783
2023-09,11.0518
2023-10,10.8209
2023-11,10.6641
2023-12,10.9690
2024-01,11.0698
2024-02,11.1042
2024-03,11.0377
2024-04,11.1065
2024-05,10.9003
2024-06,11.1204
2024-07,11.1404
2024-08,11.4041
2024-09,11.4034
2024-10,11.5596
2024-11,11.3333
2024-12,11.0793
2025-01,11.1185
2025-02,10.8120
2025-03,11.0121
2025-04,11.3558
2025-05,11.6120
2025-06,11.7357
2025-07,11.7699
2025-08,11.8482
2025-09,11.7891
2025-10,11.9415
2025-11,11.6617
2025-12,11.4848
2026-01,11.6624
