month,rate
2015-02,17.5
2015-03,18.08
2015-04,18.4
2015-05,18.05
2015-06,18.5993
2015-07,19.3183
2015-08,19.26
2015-09,19.99
2015-10,20.67
2015-11,20.24
2015-12,21.87
2016-01,24.36
2016-02,24.01
2016-03,22.93
2016-04,22.15
2016-05,20.71
2016-06,23.01
2016-07,21.61
2016-08,18.81
2016-09,18.73
2016-10,17.78
2016-11,17.05
2016-12,17.67
2017-01,17.26
2017-02,16.63
2017-03,16.25
2017-04,15.66
2017-05,17.01
2017-06,16.76
2017-07,16.5287
2017-08,16.86
2017-09,16.9
2017-10,17.99
2017-11,17.85
2017-12,18.44
2018-01,16.91
2018-02,16.94
2018-03,16.27
2018-04,16.75
2018-05,16.97
2018-06,16.77
2018-07,18
2018-08,17.31
2018-09,18.44
2018-10,19.27
2018-11,18.69
2018-12,17.77
2019-01,17.9
2019-02,18.07
2019-03,18.27
2019-04,18.95
2019-05,18.23
2019-06,18.19
2019-07,18.34
2019-08,17.3478
2019-09,18.48
2019-10,18.27
2019-11,18.84
2019-12,19.04
2020-01,18.65
2020-02,18.84
2020-03,19.41
2020-04,20.11
2020-05,23.34
2020-06,22.01
2020-07,21.54
2020-08,20.91
2020-09,22.61
2020-10,21.74
2020-11,21.41
2020-12,20.51
2021-01,20.0300
2021-02,20.2900
2021-03,20.7000
2021-04,20.4100
2021-05,19.8300
2021-06,19.8600
2021-07,19.8200
2021-08,20.0300
2021-09,20.5800
2021-10,20.0900
2021-11,19.9600
2021-12,20.8600
2022-01,21.3809
2022-02,20.8626
2022-03,20.4840
2022-04,19.5009
2022-05,19.6512
2022-06,19.8383
2022-07,19.5483
2022-08,20.5064
2022-09,20.0233
2022-10,20.1034
2022-11,20.5610
2022-12,20.5347
2023-01,21.3221
2023-02,21.0184
2023-03,21.6952
2023-04,22.4165
2023-05,22.5533
2023-06,23.7495
2023-07,23.3728
2023-08,23.1199
2023-09,23.6045
2023-10,23.3112
2023-11,22.9579
2023-12,23.4295
2024-01,23.1765
2024-02,24.1634
2024-03,23.8639
2024-04,23.9912
2024-05,23.7373
2024-06,23.1647
2024-07,22.9255
2024-08,23.6829
2024-09,23.2244
2024-10,23.2214
2024-11,22.8686
2024-12,22.9569
2025-01,22.9334
2025-02,22.8235
2025-03,23.2761
2025-04,23.5434
2025-05,25.0169
2025-06,23.9960
2025-07,24.3205
2025-08,23.7688
2025-09,23.8653
2025-10,23.7261
2025-11,23.2813
2025-12,22.5147
2026-01,22.3175
