month,rate
2015-02,49.22
2015-03,50.09
2015-04,48.3376
2015-05,48.66
2015-06,52.23
2015-07,52.9379
2015-08,54.18
2015-09,55.65
2015-10,55.1
2015-11,54.97
2015-12,54.75
2016-01,54.13
2016-02,51.31
2016-03,51.02
2016-04,49.54
2016-05,50.2
2016-06,52.05
2016-07,51.61
2016-08,46.07
2016-09,45.88
2016-10,45.03
2016-11,42.88
2016-12,44.1
2017-01,44.54
2017-02,43.58
2017-03,43.59
2017-04,43.23
2017-05,44.06
2017-06,44.54
2017-07,43.0529
2017-08,43.83
2017-09,42.68
2017-10,44.85
2017-11,43.65
2017-12,43.47
2018-01,43.87
2018-02,45
2018-03,44.02
2018-04,43.91
2018-05,44.46
2018-06,42.87
2018-07,43.17
2018-08,43.53
2018-09,42.27
2018-10,42.66
2018-11,42.45
2018-12,42.13
2019-01,41.34
2019-02,41.45
2019-03,40.6
2019-04,41.85
2019-05,41.45
2019-06,40.43
2019-07,39.45
2019-08,38.6142
2019-09,37.33
2019-10,38.11
2019-11,39.03
2019-12,38.97
2020-01,39.49
2020-02,39.9
2020-03,40.38
2020-04,38.2
2020-05,39.86
2020-06,39.04
2020-07,39.16
2020-08,40.28
2020-09,41.16
2020-10,40.16
2020-11,41.12
2020-12,40.32
2021-01,40.4900
2021-02,40.8800
2021-03,42.2100
2021-04,42.5300
2021-05,43.6600
2021-06,44.5000
2021-07,44.5100
2021-08,44.9100
2021-09,45.7900
2021-10,45.6400
2021-11,46.0662
2021-12,44.0300
2022-01,44.1594
2022-02,45.0097
2022-03,43.9383
2022-04,44.3757
2022-05,44.0516
2022-06,43.0421
2022-07,43.6541
2022-08,43.9820
2022-09,42.6237
2022-10,42.0892
2022-11,43.0121
2022-12,43.7465
2023-01,42.8659
2023-02,40.6954
2023-03,41.1791
2023-04,42.1116
2023-05,42.9215
2023-06,42.7074
2023-07,44.3680
2023-08,43.8654
2023-09,44.3438
2023-10,44.5935
2023-11,44.2437
2023-12,44.1094
2024-01,44.2203
2024-02,45.0648
2024-03,45.2204
2024-04,45.9469
2024-05,45.8864
2024-06,46.3048
2024-07,46.6766
2024-08,46.8181
2024-09,44.6688
2024-10,43.9559
2024-11,43.7274
2024-12,43.9450
2025-01,43.4740
2025-02,41.7704
2025-03,42.4249
2025-04,43.6449
2025-05,44.0755
2025-06,43.9770
2025-07,43.9004
2025-08,43.5404
2025-09,43.8674
2025-10,43.3203
2025-11,43.8422
2025-12,42.5477
2026-01,42.0047
