month,rate
2015-02,5.2982
2015-03,5.3951
2015-04,4.9567
2015-05,5.0857
2015-06,5.2903
2015-07,5.4102
2015-08,5.433
2015-09,5.3851
2015-10,5.457
2015-11,5.4059
2015-12,5.317
2016-01,5.3403
2016-02,5.0082
2016-03,5.0599
2016-04,5.079
2016-05,4.9621
2016-06,5.1168
2016-07,5.1425
2016-08,4.6189
2016-09,4.6377
2016-10,4.5428
2016-11,4.3026
2016-12,4.352
2017-01,4.3309
2017-02,4.32
2017-03,4.3708
2017-04,4.3663
2017-05,4.4837
2017-06,4.5322
2017-07,4.4326
2017-08,4.5841
2017-09,4.491
2017-10,4.7476
2017-11,4.6095
2017-12,4.6559
2018-01,4.7055
2018-02,4.978
2018-03,4.9065
2018-04,4.9298
2018-05,4.9821
2018-06,4.6695
2018-07,4.6116
2018-08,4.5672
2018-09,4.5311
2018-10,4.6036
2018-11,4.5321
2018-12,4.4723
2019-01,4.4377
2019-02,4.5848
2019-03,4.5855
2019-04,4.6291
2019-05,4.5672
2019-06,4.4433
2019-07,4.4337
2019-08,4.3873
2019-09,4.2457
2019-10,4.3817
2019-11,4.5216
2019-12,4.5192
2020-01,4.5879
2020-02,4.6123
2020-03,4.533
2020-04,4.1172
2020-05,4.3144
2020-06,4.3067
2020-07,4.389
2020-08,4.4688
2020-09,4.6276
2020-10,4.4671
2020-11,4.6201
2020-12,4.6694
2021-01,4.7239
2021-02,4.7847
2021-03,4.9179
2021-04,4.8161
2021-05,4.8893
2021-06,4.9509
2021-07,4.9031
2021-08,4.7861
2021-09,4.8150
2021-10,4.7896
2021-11,4.8422
2021-12,4.7261
2022-01,4.6254
2022-02,4.7701
2022-03,4.7527
2022-04,4.6374
2022-05,4.5666
2022-06,4.3444
2022-07,4.3082
2022-08,4.2108
2022-09,4.1492
2022-10,3.9660
2022-11,3.9519
2022-12,4.2350
2023-01,4.3111
2023-02,4.3372
2023-03,4.2007
2023-04,4.2809
2023-05,4.3575
2023-06,4.3279
2023-07,4.4562
2023-08,4.5103
2023-09,4.4266
2023-10,4.3204
2023-11,4.2579
2023-12,4.3800
2024-01,4.4198
2024-02,4.4335
2024-03,4.4107
2024-04,4.4382
2024-05,4.3521
2024-06,4.4400
2024-07,4.4607
2024-08,4.5533
2024-09,4.5660
2024-10,4.6290
2024-11,4.5327
2024-12,4.4317
2025-01,4.4565
2025-02,4.3345
2025-03,4.4014
2025-04,4.5405
2025-05,4.6419
2025-06,4.7048
2025-07,4.7066
2025-08,4.7494
2025-09,4.7122
2025-10,4.7728
2025-11,4.6647
2025-12,4.5917
2026-01,4.6634
