month,rate
2015-02,2.9011
2015-03,2.9642
2015-04,2.9198
2015-05,2.9241
2015-06,3.0098
2015-07,3.016
2015-08,3.0994
2015-09,3.0526
2015-10,3.0308
2015-11,3.013
2015-12,3.0919
2016-01,3.063
2016-02,2.91
2016-03,2.9
2016-04,2.9059
2016-05,2.8527
2016-06,3.0134
2016-07,3.1681
2016-08,2.9314
2016-09,2.9113
2016-10,2.869
2016-11,2.7613
2016-12,2.8555
2017-01,2.8659
2017-02,2.8162
2017-03,2.8518
2017-04,2.8219
2017-05,2.9516
2017-06,3.1445
2017-07,3.1166
2017-08,3.2034
2017-09,3.1268
2017-10,3.3044
2017-11,3.2735
2017-12,3.3054
2018-01,3.3252
2018-02,3.4071
2018-03,3.3575
2018-04,3.3825
2018-05,3.4053
2018-06,3.3889
2018-07,3.4323
2018-08,3.4462
2018-09,3.5297
2018-10,3.6542
2018-11,3.687
2018-12,3.7235
2019-01,3.7604
2019-02,3.9515
2019-03,3.9864
2019-04,3.9573
2019-05,3.905
2019-06,3.7904
2019-07,3.7509
2019-08,3.6035
2019-09,3.4771
2019-10,3.5688
2019-11,3.6524
2019-12,3.6775
2020-01,3.7245
2020-02,3.7086
2020-03,3.7223
2020-04,3.417
2020-05,3.5692
2020-06,3.5282
2020-07,3.5745
2020-08,3.5477
2020-09,3.5988
2020-10,3.5481
2020-11,3.6057
2020-12,3.6451
2021-01,3.6433
2021-02,3.6811
2021-03,3.8101
2021-04,3.8144
2021-05,3.8396
2021-06,3.8588
2021-07,3.8733
2021-08,3.8118
2021-09,3.8580
2021-10,3.8085
2021-11,3.8887
2021-12,3.8832
2022-01,3.8195
2022-02,3.9191
2022-03,3.9013
2022-04,3.9059
2022-05,3.9486
2022-06,3.8726
2022-07,3.7918
2022-08,3.7915
2022-09,3.7789
2022-10,3.6811
2022-11,3.7402
2022-12,3.9051
2023-01,3.8622
2023-02,3.8052
2023-03,3.7296
2023-04,3.7628
2023-05,3.7958
2023-06,3.8354
2023-07,3.9136
2023-08,3.9235
2023-09,3.9346
2023-10,3.8811
2023-11,3.8691
2023-12,3.8970
2024-01,3.9167
2024-02,3.9477
2024-03,3.9410
2024-04,3.9455
2024-05,3.9332
2024-06,3.9559
2024-07,3.9854
2024-08,4.0375
2024-09,3.9706
2024-10,4.0086
2024-11,4.0373
2024-12,3.9918
2025-01,4.0215
2025-02,3.9311
2025-03,3.9949
2025-04,4.0027
2025-05,3.9746
2025-06,4.0128
2025-07,3.9501
2025-08,3.8888
2025-09,3.8853
2025-10,3.9414
2025-11,3.9193
2025-12,3.8716
2026-01,3.8931
