month,rate
2015-02,1.8385
2015-03,1.9686
2015-04,1.9188
2015-05,1.9379
2015-06,1.9748
2015-07,2.0493
2015-08,2.1189
2015-09,2.1365
2015-10,2.1701
2015-11,2.1428
2015-12,2.1482
2016-01,2.0859
2016-02,2.0442
2016-03,1.9969
2016-04,1.8736
2016-05,1.8445
2016-06,2.01
2016-07,1.9674
2016-08,1.7602
2016-09,1.741
2016-10,1.7116
2016-11,1.5983
2016-12,1.678
2017-01,1.7066
2017-02,1.6317
2017-03,1.621
2017-04,1.6258
2017-05,1.7062
2017-06,1.7352
2017-07,1.6771
2017-08,1.6426
2017-09,1.6203
2017-10,1.6812
2017-11,1.6807
2017-12,1.7512
2018-01,1.7489
2018-02,1.7621
2018-03,1.782
2018-04,1.825
2018-05,1.8272
2018-06,1.767
2018-07,1.7867
2018-08,1.7683
2018-09,1.756
2018-10,1.8108
2018-11,1.8244
2018-12,1.7594
2019-01,1.7617
2019-02,1.8315
2019-03,1.8231
2019-04,1.8608
2019-05,1.8173
2019-06,1.8412
2019-07,1.8389
2019-08,1.7909
2019-09,1.7869
2019-10,1.8247
2019-11,1.8821
2019-12,1.8977
2020-01,1.905
2020-02,1.9213
2020-03,1.9407
2020-04,2.0209
2020-05,1.9526
2020-06,1.8595
2020-07,1.8136
2020-08,1.7825
2020-09,1.8216
2020-10,1.7962
2020-11,1.8478
2020-12,1.816
2021-01,1.7842
2021-02,1.7604
2021-03,1.7778
2021-04,1.3119
2021-05,1.7972
2021-06,1.8263
2021-07,1.8408
2021-08,1.8626
2021-09,1.9009
2021-10,1.8802
2021-11,1.8394
2021-12,1.8507
2022-01,1.8552
2022-02,1.8874
2022-03,1.8940
2022-04,1.7619
2022-05,1.7503
2022-06,1.7806
2022-07,1.7728
2022-08,1.7375
2022-09,1.7099
2022-10,1.7015
2022-11,1.7896
2022-12,1.7951
2023-01,1.8070
2023-02,1.7679
2023-03,1.7446
2023-04,1.8295
2023-05,1.8520
2023-06,1.8915
2023-07,1.8804
2023-08,1.9070
2023-09,1.9677
2023-10,2.9585
2023-11,2.9272
2023-12,2.9783
2024-01,2.9655
2024-02,2.9885
2024-03,2.9693
2024-04,3.0070
2024-05,2.9867
2024-06,3.0081
2024-07,3.0086
2024-08,3.0839
2024-09,3.0694
2024-10,3.1038
2024-11,3.0678
2024-12,3.0314
2025-01,3.0401
2025-02,3.0052
2025-03,3.0310
2025-04,3.1202
2025-05,3.1962
2025-06,3.2302
2025-07,3.2395
2025-08,3.2608
2025-09,3.2443
2025-10,3.2855
2025-11,3.2053
2025-12,3.1469
2026-01,3.2098
