month,rate
2015-02,3.5303
2015-03,3.7837
2015-04,3.8852
2015-05,4.0299
2015-06,4.07
2015-07,4.2361
2015-08,4.1439
2015-09,4.4212
2015-10,4.6571
2015-11,4.4807
2015-12,4.3562
2016-01,4.5261
2016-02,4.3533
2016-03,4.2359
2016-04,4.1527
2016-05,4.0446
2016-06,4.3448
2016-07,4.2619
2016-08,4.0101
2016-09,3.9113
2016-10,3.8576
2016-11,3.7755
2016-12,4.2331
2017-01,4.3483
2017-02,4.6517
2017-03,4.5838
2017-04,4.5049
2017-05,4.6965
2017-06,4.6201
2017-07,4.4702
2017-08,4.5911
2017-09,4.4658
2017-10,4.708
2017-11,4.8413
2017-12,5.2343
2018-01,5.1241
2018-02,5.3111
2018-03,5.2924
2018-04,5.5173
2018-05,5.7227
2018-06,6.5007
2018-07,6.2497
2018-08,6.2738
2018-09,7.8025
2018-10,8.2234
2018-11,7.3113
2018-12,6.792
2019-01,6.6678
2019-02,6.9042
2019-03,6.9546
2019-04,7.2132
2019-05,7.4924
2019-06,7.7285
2019-07,7.3714
2019-08,7.131
2019-09,6.9526
2019-10,7.0764
2019-11,7.4165
2019-12,7.3526
2020-01,7.741
2020-02,7.7782
2020-03,7.8804
2020-04,7.6224
2020-05,8.6264
2020-06,8.3226
2020-07,8.5993
2020-08,8.7179
2020-09,9.55
2020-10,9.8378
2020-11,10.2892
2020-12,10.22
2021-01,10.5600
2021-02,10.0900
2021-03,9.9007
2021-04,10.8600
2021-05,11.3900
2021-06,11.8600
2021-07,12.0600
2021-08,11.7400
2021-09,11.6500
2021-10,11.7900
2021-11,12.7700
2021-12,14.2800
2022-01,19.5196
2022-02,18.2904
2022-03,18.5130
2022-04,19.6181
2022-05,19.1472
2022-06,19.8290
2022-07,21.3501
2022-08,21.1018
2022-09,21.4605
2022-10,20.7666
2022-11,20.9310
2022-12,22.4635
2023-01,23.1130
2023-02,23.2877
2023-03,22.6227
2023-04,23.2877
2023-05,24.1481
2023-06,24.6009
2023-07,29.9801
2023-08,34.6429
2023-09,34.3743
2023-10,33.4323
2023-11,34.1381
2023-12,36.1376
2024-01,36.8560
2024-02,38.2383
2024-03,39.0863
2024-04,41.1194
2024-05,40.5295
2024-06,40.9074
2024-07,41.4287
2024-08,43.1400
2024-09,44.2254
2024-10,45.0662
2024-11,44.4057
2024-12,43.6487
2025-01,44.4968
2025-02,44.0442
2025-03,45.6918
2025-04,49.5153
2025-05,50.5961
2025-06,52.0825
2025-07,53.1548
2025-08,54.7698
2025-09,55.1230
2025-10,56.3593
2025-11,55.9355
2025-12,55.5844
2026-01,56.9430
