month,rate
2015-02,9.6769
2015-03,9.8131
2015-04,9.3713
2015-05,9.5095
2015-06,10.0412
2015-07,9.8754
2015-08,9.9483
2015-09,9.907
2015-10,9.8821
2015-11,9.8174
2015-12,9.7452
2016-01,9.7736
2016-02,9.1914
2016-03,9.3625
2016-04,9.5488
2016-05,9.3338
2016-06,9.7578
2016-07,9.7361
2016-08,8.8227
2016-09,8.8712
2016-10,8.6773
2016-11,8.2363
2016-12,8.3841
2017-01,8.3535
2017-02,8.3119
2017-03,8.3862
2017-04,8.4532
2017-05,8.6215
2017-06,8.741
2017-07,8.5664
2017-08,8.8199
2017-09,8.6705
2017-10,9.1534
2017-11,8.8812
2017-12,8.9916
2018-01,9.077
2018-02,9.6042
2018-03,9.4397
2018-04,9.5074
2018-05,9.6
2018-06,9.0408
2018-07,8.8959
2018-08,8.7932
2018-09,8.688
2018-10,8.8152
2018-11,8.7221
2018-12,8.623
2019-01,8.5339
2019-02,8.8236
2019-03,8.8332
2019-04,8.935
2019-05,8.8234
2019-06,8.5564
2019-07,8.5227
2019-08,8.4388
2019-09,8.1649
2019-10,8.4105
2019-11,8.6698
2019-12,8.7084
2020-01,8.8225
2020-02,8.9019
2020-03,8.7331
2020-04,7.9465
2020-05,8.3174
2020-06,8.2778
2020-07,8.4474
2020-08,8.597
2020-09,8.873
2020-10,8.6354
2020-11,8.8745
2020-12,9.0194
2021-01,9.1338
2021-02,9.2142
2021-03,9.4952
2021-04,9.3015
2021-05,9.4202
2021-06,9.5430
2021-07,9.4682
2021-08,9.2240
2021-09,9.2828
2021-10,9.2341
2021-11,9.3441
2021-12,9.0659
2022-01,8.9350
2022-02,9.1780
2022-03,9.1622
2022-04,8.9386
2022-05,8.8159
2022-06,8.3823
2022-07,8.3140
2022-08,8.0984
2022-09,8.0012
2022-10,7.6638
2022-11,7.5777
2022-12,8.1593
2023-01,8.3673
2023-02,8.3504
2023-03,8.1059
2023-04,8.2625
2023-05,8.4064
2023-06,8.3663
2023-07,8.5712
2023-08,8.6852
2023-09,8.5571
2023-10,8.3811
2023-11,8.2656
2023-12,8.5143
2024-01,8.5800
2024-02,8.6103
2024-03,8.5533
2024-04,8.6128
2024-05,8.4542
2024-06,8.6218
2024-07,8.6388
2024-08,8.8444
2024-09,8.8207
2024-10,8.9718
2024-11,8.7903
2024-12,8.5893
2025-01,8.6229
2025-02,8.3908
2025-03,8.5261
2025-04,8.8074
2025-05,9.0056
2025-06,9.1115
2025-07,9.1193
2025-08,9.1957
2025-09,9.1328
2025-10,9.2595
2025-11,9.0444
2025-12,8.8961
2026-01,9.0453
