month,rate
2015-02,47.61
2015-03,48.52
2015-04,46.3315
2015-05,46.68
2015-06,47.44
2015-07,48.5758
2015-08,48.75
2015-09,50.77
2015-10,49.99
2015-11,50.08
2015-12,49.88
2016-01,49.17
2016-02,47.59
2016-03,47.64
2016-04,45.86
2016-05,46.42
2016-06,47.77
2016-07,47.32
2016-08,42.2
2016-09,42.1
2016-10,40.73
2016-11,38.72
2016-12,39.51
2017-01,39.61
2017-02,38.93
2017-03,38.28
2017-04,38.03
2017-05,38.96
2017-06,39.05
2017-07,38.5741
2017-08,39.62
2017-09,38.74
2017-10,40.81
2017-11,39.75
2017-12,39.84
2018-01,40.2
2018-02,41.58
2018-03,40.82
2018-04,41.04
2018-05,41.78
2018-06,39.95
2018-07,39.74
2018-08,39.89
2018-09,39.65
2018-10,40.5
2018-11,39.94
2018-12,39.46
2019-01,38.95
2019-02,40.35
2019-03,40.26
2019-04,40.64
2019-05,40.25
2019-06,39.93
2019-07,39.59
2019-08,38.8492
2019-09,38.04
2019-10,38.67
2019-11,39.43
2019-12,39.36
2020-01,39.43
2020-02,39.39
2020-03,39.02
2020-04,35.57
2020-05,37.06
2020-06,36.72
2020-07,37.12
2020-08,37.43
2020-09,38.73
2020-10,37.13
2020-11,37.71
2020-12,37.91
2021-01,37.9600
2021-02,38.1600
2021-03,39.2100
2021-04,39.1500
2021-05,39.1900
2021-06,39.5400
2021-07,39.1100
2021-08,38.3600
2021-09,38.2600
2021-10,37.9000
2021-11,38.5500
2021-12,37.4400
2022-01,36.7350
2022-02,37.6726
2022-03,37.8753
2022-04,37.7168
2022-05,38.1783
2022-06,37.0643
2022-07,36.6705
2022-08,35.8640
2022-09,35.7923
2022-10,35.6317
2022-11,36.0507
2022-12,37.6425
2023-01,37.9178
2023-02,37.5813
2023-03,36.3891
2023-04,37.3256
2023-05,38.0585
2023-06,38.0747
2023-07,39.4171
2023-08,40.0472
2023-09,40.3596
2023-10,39.5756
2023-11,39.4228
2023-12,39.5679
2024-01,39.6042
2024-02,40.0701
2024-03,39.7699
2024-04,40.5323
2024-05,40.4523
2024-06,41.0787
2024-07,41.2174
2024-08,42.3820
2024-09,41.5736
2024-10,42.2713
2024-11,41.5727
2024-12,41.2136
2025-01,41.3379
2025-02,40.4326
2025-03,41.2496
2025-04,42.8539
2025-05,43.0510
2025-06,40.3628
2025-07,39.7494
2025-08,39.6365
2025-09,40.8035
2025-10,40.9867
2025-11,40.9843
2025-12,40.9663
2026-01,41.9291
