month,rate
2015-02,2685.35
2015-03,2811.56
2015-04,2721.7
2015-05,2834.53
2015-06,3180.5189
2015-07,3432.9754
2015-08,3377.05
2015-09,3316.89
2015-10,3383.32
2015-11,3382.55
2015-12,3266.18
2016-01,3286.32
2016-02,3113.64
2016-03,3161.73
2016-04,3173.65
2016-05,3104.88
2016-06,3203.12
2016-07,3214.63
2016-08,2884.66
2016-09,2897.87
2016-10,2828.07
2016-11,2682.33
2016-12,2702.97
2017-01,2695.04
2017-02,2759.88
2017-03,2780.64
2017-04,2788.17
2017-05,2863.14
2017-06,2896.69
2017-07,2833.0442
2017-08,2920
2017-09,2863.5
2017-10,3041.15
2017-11,2961.28
2017-12,2984.81
2018-01,3008.99
2018-02,3201.58
2018-03,3149.37
2018-04,3174.49
2018-05,3238.34
2018-06,3044.53
2018-07,2997.52
2018-08,2974.52
2018-09,2952.3
2018-10,3005.47
2018-11,2962.67
2018-12,2952.97
2019-01,2907.89
2019-02,3023.85
2019-03,3046.53
2019-04,3092.68
2019-05,3020.85
2019-06,2911.57
2019-07,2902.88
2019-08,2877.39
2019-09,2788.79
2019-10,2868.69
2019-11,2966.71
2019-12,2971.06
2020-01,3003.72
2020-02,3027.55
2020-03,2991.8
2020-04,2711.47
2020-05,2853.69
2020-06,2840.49
2020-07,2901.74
2020-08,2953.72
2020-09,3058.66
2020-10,2961.03
2020-11,3053.71
2020-12,3084.96
2021-01,3129.9300
2021-02,3161.1600
2021-03,3258.4400
2021-04,3181.8900
2021-05,3230.2500
2021-06,3280.3300
2021-07,3239.4100
2021-08,3171.1000
2021-09,3190.2600
2021-10,3165.7600
2021-11,3187.1200
2021-12,3099.5400
2022-01,3046.1625
2022-02,3146.9351
2022-03,3140.8288
2022-04,3065.1754
2022-05,3029.6310
2022-06,2885.9046
2022-07,2872.9341
2022-08,2797.5722
2022-09,2756.6648
2022-10,2642.4931
2022-11,2624.4680
2022-12,2813.6732
2023-01,2893.0849
2023-02,2893.5403
2023-03,2807.2831
2023-04,2862.0705
2023-05,2920.7808
2023-06,2924.4469
2023-07,3049.3243
2023-08,3150.7326
2023-09,3158.3650
2023-10,3100.6580
2023-11,3047.8556
2023-12,3138.1644
2024-01,3187.4422
2024-02,3210.5213
2024-03,3202.3171
2024-04,3263.8012
2024-05,3220.2530
2024-06,3303.8859
2024-07,3348.9523
2024-08,3479.9112
2024-09,3517.3162
2024-10,3586.9133
2024-11,3530.1573
2024-12,3356.9044
2025-01,3181.3146
2025-02,3125.9240
2025-03,3270.8525
2025-04,3422.6553
2025-05,3557.0635
2025-06,3621.4022
2025-07,3530.4106
2025-08,3503.6167
2025-09,3373.2618
2025-10,3363.8824
2025-11,3295.2536
2025-12,3190.7091
2026-01,3299.8249
