month,rate
2015-02,23.93
2015-03,40.28
2015-04,31.93
2015-05,31.33
2015-06,33.0054
2015-07,32.7728
2015-08,34.55
2015-09,34.26
2015-10,33.98
2015-11,32.86
2015-12,35.14
2016-01,36.21
2016-02,34.91
2016-03,37.84
2016-04,38.6
2016-05,36.08
2016-06,36.89
2016-07,36.51
2016-08,32.68
2016-09,33.57
2016-10,33.62
2016-11,31.59
2016-12,31.75
2017-01,32.67
2017-02,34
2017-03,33.59
2017-04,33.62
2017-05,34.27
2017-06,34
2017-07,32.945
2017-08,33.83
2017-09,32.69
2017-10,35.51
2017-11,34.8
2017-12,35.46
2018-01,37.32
2018-02,40.99
2018-03,37.73
2018-04,36.99
2018-05,37.23
2018-06,34.79
2018-07,34.9
2018-08,34.22
2018-09,35.86
2018-10,36.88
2018-11,36.5
2018-12,35.42
2019-01,34.91
2019-02,36.45
2019-03,35.33
2019-04,35.93
2019-05,34.93
2019-06,33.26
2019-07,33.3
2019-08,31.83
2019-09,30.52
2019-10,30.79
2019-11,32.24
2019-12,31.18
2020-01,30.56
2020-02,32.12
2020-03,31.71
2020-04,32.3
2020-05,33.3
2020-06,32.79
2020-07,33.6
2020-08,35.47
2020-09,36.22
2020-10,36.02
2020-11,37.18
2020-12,37.51
2021-01,37.5800
2021-02,38.4900
2021-03,39.1800
2021-04,38.3600
2021-05,39.1400
2021-06,38.8200
2021-07,38.3100
2021-08,37.2400
2021-09,36.6200
2021-10,36.2700
2021-11,36.1800
2021-12,35.6200
2022-01,35.9331
2022-02,38.5562
2022-03,38.2118
2022-04,38.8432
2022-05,38.3612
2022-06,36.6463
2022-07,36.1917
2022-08,35.4419
2022-09,43.5808
2022-10,41.7758
2022-11,41.5818
2022-12,44.5597
2023-01,45.7993
2023-02,45.5425
2023-03,44.1016
2023-04,45.1659
2023-05,45.9807
2023-06,45.6698
2023-07,47.0190
2023-08,47.3595
2023-09,46.5633
2023-10,45.6722
2023-11,44.6231
2023-12,45.2020
2024-01,47.5971
2024-02,48.0592
2024-03,48.7065
2024-04,49.6971
2024-05,49.3578
2024-06,50.5545
2024-07,51.6034
2024-08,54.0585
2024-09,53.9009
2024-10,54.7992
2024-11,53.4823
2024-12,52.2836
2025-01,53.1256
2025-02,51.9508
2025-03,52.4737
2025-04,53.9276
2025-05,54.8121
2025-06,55.5954
2025-07,56.0809
2025-08,56.6289
2025-09,55.6489
2025-10,56.2754
2025-11,55.7147
2025-12,55.2617
2026-01,56.4067
