month,rate
2015-02,4368.3
2015-03,4425.1
2015-04,4300.23
2015-05,4482.9
2015-06,4726.5613
2015-07,4927.6061
2015-08,5195.35
2015-09,5517.74
2015-10,5690.85
2015-11,5645.31
2015-12,5276.03
2016-01,5226.16
2016-02,4969.52
2016-03,4934.14
2016-04,4893.27
2016-05,4732.32
2016-06,4901.9
2016-07,4929.79
2016-08,4438.35
2016-09,4468.06
2016-10,4384.68
2016-11,4232.48
2016-12,4488.42
2017-01,4411.31
2017-02,4443.45
2017-03,4461.74
2017-04,4484.78
2017-05,4627.15
2017-06,4668.11
2017-07,4546.5499
2017-08,4694.95
2017-09,4606.17
2017-10,4876.42
2017-11,4809.69
2017-12,4828.57
2018-01,4846.29
2018-02,5175.76
2018-03,5088.2
2018-04,5151.34
2018-05,5252.52
2018-06,4984.39
2018-07,5104.86
2018-08,4885.56
2018-09,4827.98
2018-10,5029.72
2018-11,4854.93
2018-12,4753.38
2019-01,4671.59
2019-02,4819.87
2019-03,4794.5
2019-04,4888.29
2019-05,4871.2
2019-06,4761.41
2019-07,4679.98
2019-08,4618.57
2019-09,4476.14
2019-10,4581.43
2019-11,4780.49
2019-12,4761.96
2020-01,4787.92
2020-02,4829.1
2020-03,4751.91
2020-04,4452.47
2020-05,4667.67
2020-06,4644.61
2020-07,4671.14
2020-08,4706.85
2020-09,4845.09
2020-10,4715.95
2020-11,4925.43
2020-12,4935.41
2021-01,4923.6700
2021-02,5027.3300
2021-03,5156.7400
2021-04,5028.7400
2021-05,5032.7300
2021-06,5035.7800
2021-07,4964.4600
2021-08,4862.6400
2021-09,4856.2400
2021-10,4823.7000
2021-11,4980.3100
2021-12,4778.5700
2022-01,4711.3098
2022-02,4804.9018
2022-03,4774.3864
2022-04,4776.1240
2022-05,4612.2951
2022-06,4530.5614
2022-07,4609.7416
2022-08,4567.0484
2022-09,4503.8127
2022-10,4328.0638
2022-11,4295.3020
2022-12,4510.9031
2023-01,4584.0270
2023-02,4560.2692
2023-03,4404.7585
2023-04,4611.1147
2023-05,4656.3172
2023-06,4616.0507
2023-07,4710.8570
2023-08,4722.8780
2023-09,4698.9670
2023-10,4636.6720
2023-11,4582.1656
2023-12,4751.3337
2024-01,4755.4345
2024-02,4844.1065
2024-03,4904.8204
2024-04,4919.6020
2024-05,4751.1450
2024-06,4848.6357
2024-07,4757.9047
2024-08,4821.1433
2024-09,4847.0566
2024-10,4913.3444
2024-11,4746.6182
2024-12,4666.4926
2025-01,4625.8742
2025-02,4547.2758
2025-03,4625.6319
2025-04,4756.4559
2025-05,4863.4506
2025-06,4899.2251
2025-07,4842.9395
2025-08,4860.7989
2025-09,4803.5100
2025-10,4776.2831
2025-11,4648.1799
2025-12,4788.0958
2026-01,4750.6748
