month,rate
2015-02,37.64
2015-03,38.21
2015-04,37.1
2015-05,39.84
2015-06,41.9516
2015-07,41.7173
2015-08,42.86
2015-09,44.41
2015-10,44.94
2015-11,45.41
2015-12,44.85
2016-01,45.19
2016-02,43.99
2016-03,45.86
2016-04,46.83
2016-05,44.65
2016-06,46.14
2016-07,44.85
2016-08,39.75
2016-09,37.83
2016-10,36.94
2016-11,34.5
2016-12,36.01
2017-01,35.48
2017-02,35.43
2017-03,35.42
2017-04,35.36
2017-05,36.42
2017-06,36.53
2017-07,35.8405
2017-08,37.34
2017-09,36.79
2017-10,39.16
2017-11,38.82
2017-12,38.98
2018-01,38.5
2018-02,40.45
2018-03,39.79
2018-04,40.04
2018-05,40.21
2018-06,41.72
2018-07,41.78
2018-08,40.75
2018-09,41.16
2018-10,43.56
2018-11,42.43
2018-12,41.53
2019-01,40.7
2019-02,42.63
2019-03,42.7
2019-04,43.95
2019-05,44.59
2019-06,44.63
2019-07,44.62
2019-08,42.7046
2019-09,44.3
2019-10,45.85
2019-11,48.17
2019-12,48.56
2020-01,49.29
2020-02,49.07
2020-03,49.28
2020-04,53.93
2020-05,53.22
2020-06,53.55
2020-07,53.35
2020-08,54.73
2020-09,56.26
2020-10,54.08
2020-11,56.17
2020-12,56.79
2021-01,57.2600
2021-02,57.5000
2021-03,60.5200
2021-04,60.7300
2021-05,61.5400
2021-06,62.3500
2021-07,60.8200
2021-08,60.0300
2021-09,59.4100
2021-10,58.2900
2021-11,60.5300
2021-12,59.2900
2022-01,58.4387
2022-02,60.6954
2022-03,58.4509
2022-04,55.8800
2022-05,53.5274
2022-06,50.3016
2022-07,48.9716
2022-08,50.2951
2022-09,47.7865
2022-10,46.3796
2022-11,46.4602
2022-12,47.7492
2023-01,47.9183
2023-02,48.5458
2023-03,46.8471
2023-04,47.8235
2023-05,48.3933
2023-06,47.9350
2023-07,48.2926
2023-08,48.9788
2023-09,47.7930
2023-10,47.1958
2023-11,48.7009
2023-12,49.7079
2024-01,49.7034
2024-02,50.0695
2024-03,49.3034
2024-04,48.7725
2024-05,48.4238
2024-06,48.8551
2024-07,50.1127
2024-08,52.3205
2024-09,52.5090
2024-10,54.1522
2024-11,53.6850
2024-12,54.1579
2025-01,56.5682
2025-02,54.0395
2025-03,54.4994
2025-04,55.1474
2025-05,56.1928
2025-06,55.8553
2025-07,54.9365
2025-08,54.4343
2025-09,54.1195
2025-10,54.8682
2025-11,53.0554
2025-12,52.2715
2026-01,52.2152
