month,rate
2015-02,3679.6
2015-03,3791.3
2015-04,3647.2
2015-05,3742.28
2015-06,3983.9082
2015-07,3957.1081
2015-08,4010.71
2015-09,4035.32
2015-10,4070.73
2015-11,4091.83
2015-12,4111.73
2016-01,4207.1
2016-02,4030.09
2016-03,4101.24
2016-04,4145.4
2016-05,4095.03
2016-06,4260.25
2016-07,4311.67
2016-08,3899.2
2016-09,3954.53
2016-10,3894.9
2016-11,3768.24
2016-12,3914.96
2017-01,3981.39
2017-02,4012.76
2017-03,4120.97
2017-04,4366.28
2017-05,4712.84
2017-06,4947.11
2017-07,4978.2946
2017-08,5272
2017-09,5351.22
2017-10,10956.68
2017-11,10613.42
2017-12,10739.91
2018-01,10861.1
2018-02,11611.5
2018-03,11438.31
2018-04,11449.07
2018-05,11497.55
2018-06,10670.47
2018-07,10387.89
2018-08,10162.34
2018-09,10073.96
2018-10,10573.74
2018-11,10621.59
2018-12,10576.96
2019-01,10526.07
2019-02,10943.57
2019-03,10963.61
2019-04,11049.33
2019-05,11033.44
2019-06,10710.7
2019-07,10781.95
2019-08,10780.24
2019-09,10991.42
2019-10,11729
2019-11,12171.55
2019-12,12267.69
2020-01,12459.84
2020-02,12545.24
2020-03,12340.84
2020-04,11199.22
2020-05,12497
2020-06,12428.92
2020-07,12730.46
2020-08,12999.42
2020-09,13509.18
2020-10,13165.91
2020-11,13651.91
2020-12,13823.07
2021-01,14122.0000
2021-02,14314.2800
2021-03,14823.3700
2021-04,14417.5900
2021-05,14698.4400
2021-06,14974.4000
2021-07,14767.8800
2021-08,14493.1100
2021-09,14643.0200
2021-10,14572.1600
2021-11,14757.2200
2021-12,14481.5000
2022-01,14312.5401
2022-02,14742.8261
2022-03,14726.5645
2022-04,15206.4427
2022-05,14719.9529
2022-06,13815.8186
2022-07,13351.7409
2022-08,13085.7338
2022-09,12888.1924
2022-10,12441.9428
2022-11,12552.6269
2022-12,13540.6314
2023-01,13964.4911
2023-02,13991.8847
2023-03,13645.1337
2023-04,13912.9080
2023-05,14213.1864
2023-06,14118.9693
2023-07,14641.8672
2023-08,14948.4205
2023-09,15248.1500
2023-10,15015.1800
2023-11,14811.3457
2023-12,15352.2343
2024-01,15619.6899
2024-02,15705.6146
2024-03,15728.3897
2024-04,15961.8543
2024-05,15784.3145
2024-06,16112.5777
2024-07,16054.8070
2024-08,16424.5504
2024-09,16458.8451
2024-10,16804.2923
2024-11,16590.7699
2024-12,16221.9694
2025-01,16326.0197
2025-02,15989.3925
2025-03,16355.8673
2025-04,16770.9862
2025-05,17208.0303
2025-06,17296.3826
2025-07,17025.0205
2025-08,17089.3294
2025-09,16871.7585
2025-10,16769.6582
2025-11,16059.1050
2025-12,15700.9387
2026-01,16134.4000
