month,rate
2015-02,9.5205
2015-03,9.6947
2015-04,9.2828
2015-05,9.4086
2015-06,9.9332
2015-07,9.8089
2015-08,9.8587
2015-09,9.8418
2015-10,9.8226
2015-11,9.7384
2015-12,9.5828
2016-01,9.5935
2016-02,9.0222
2016-03,9.1155
2016-04,9.1498
2016-05,14.15
2016-06,14.59
2016-07,14.65
2016-08,13.16
2016-09,13.23
2016-10,12.94
2016-11,12.28
2016-12,12.39
2017-01,12.36
2017-02,12.33
2017-03,12.44
2017-04,12.45
2017-05,12.95
2017-06,13.13
2017-07,12.8465
2017-08,13.06
2017-09,12.79
2017-10,13.78
2017-11,13.15
2017-12,14.46
2018-01,13.51
2018-02,14.21
2018-03,34915.01
2018-04,61780.92
2018-05,84623.92
2018-06,105131.14
2018-07,52713.58
2018-08,156392.72
2018-09,320815.78
2018-10,326879.5
2018-11,320890.35
2018-12,317617.87
2019-01,314736.93
2019-02,323997.96
2019-03,321045.54
2019-04,330277.35
2019-05,324009.37
2019-06,314572.93
2019-07,312256.23
2019-08,309432.33
2019-09,301389.67
2019-10,309961.4
2019-11,322560
2019-12,307727.09
2020-01,325514.45
2020-02,326591
2020-03,323207
2020-04,289115
2020-05,306777
2020-06,304175
2020-07,309158
2020-08,302966
2020-09,295856
2020-10,316243
2020-11,326345
2020-12,328593
2023-11,4237481.8132
2023-12,4436482.4883
2024-01,4508720.9853
2024-02,4568527.7549
2024-03,4570650.1346
2024-04,4596620.1530
2024-05,4515034.2745
2024-06,4641238.7879
2024-07,4627920.0720
2024-08,4752137.4174
2024-09,4774687.2783
2024-10,4851594.9615
2024-11,5086713.1518
2024-12,5818640.3312
2025-01,6413696.5388
