month,rate
2015-02,32281.68
2015-03,32849.11
2015-04,31554.79
2015-05,32294.31
2015-06,34371.4662
2015-07,33940.5294
2015-08,34104.43
2015-09,34500.36
2015-10,35041.73
2015-11,34412.5
2015-12,34055.76
2016-01,34232.62
2016-02,32075.85
2016-03,32263.58
2016-04,32349.79
2016-05,31622.35
2016-06,32575.09
2016-07,32719.4
2016-08,29387.04
2016-09,29549.25
2016-10,28932.67
2016-11,27422.05
2016-12,28071.27
2017-01,28171.79
2017-02,27861.75
2017-03,28335.75
2017-04,28410.7
2017-05,29129.8
2017-06,29368.4
2017-07,28780.7054
2017-08,29646.75
2017-09,29086.08
2017-10,30830.7
2017-11,29921.66
2017-12,30184.94
2018-01,30449.92
2018-02,32300.99
2018-03,31755.91
2018-04,32031.87
2018-05,32417.64
2018-06,30384.05
2018-07,30130.1
2018-08,30077.44
2018-09,30045.91
2018-10,30656.5
2018-11,30148.36
2018-12,29840.32
2019-01,29468.36
2019-02,30301.28
2019-03,30307.34
2019-04,30610.43
2019-05,30271.84
2019-06,29590.52
2019-07,29452.3
2019-08,29023.36
2019-09,28144.59
2019-10,28976.01
2019-11,29849.56
2019-12,29957.34
2020-01,30290.91
2020-02,30447.05
2020-03,30090.3
2020-04,27388.93
2020-05,28943.72
2020-06,28555.27
2020-07,29089.63
2020-08,29512.45
2020-09,30553.75
2020-10,29588.68
2020-11,30508.25
2020-12,30823.76
2021-01,31213.7100
2021-02,31452.1700
2021-03,32349.0500
2021-04,31671.5200
2021-05,32142.4500
2021-06,32599.7300
2021-07,32163.7500
2021-08,31484.1600
2021-09,31377.8600
2021-10,31058.6900
2021-11,31437.5400
2021-12,30501.2800
2022-01,30441.8637
2022-02,30944.7111
2022-03,30899.1021
2022-04,30221.7064
2022-05,29962.9957
2022-06,28723.8290
2022-07,28603.2190
2022-08,28095.7278
2022-09,27744.0226
2022-10,26849.8903
2022-11,27556.4080
2022-12,29981.5913
2023-01,29203.8164
2023-02,29049.4160
2023-03,28360.9096
2023-04,28773.6663
2023-05,29259.5291
2023-06,29021.9319
2023-07,29921.5756
2023-08,30455.2141
2023-09,30079.6700
2023-10,30190.3900
2023-11,29621.7981
2023-12,30513.2288
2024-01,30833.4295
2024-02,31346.8929
2024-03,30825.7980
2024-04,31528.9050
2024-05,31678.0564
2024-06,32451.8828
2024-07,32207.3174
2024-08,33110.8621
2024-09,32622.1043
2024-10,32514.8935
2024-11,32930.7256
2024-12,32211.4260
2025-01,32434.5776
2025-02,30995.4203
2025-03,32125.3402
2025-04,33201.9196
2025-05,34287.1538
2025-06,34821.0566
2025-07,35119.2119
2025-08,35416.0286
2025-09,35466.1827
2025-10,35992.0138
2025-11,35124.5729
2025-12,34628.6075
2026-01,35098.5167
