month,rate
2015-02,152.7
2015-03,160.2
2015-04,160.57
2015-05,160.44
2015-06,168.7696
2015-07,169.438
2015-08,173.93
2015-09,171.65
2015-10,178.49
2015-11,173.49
2015-12,174.03
2016-01,171.48
2016-02,160.98
2016-03,163.77
2016-04,160.99
2016-05,155.4
2016-06,162.69
2016-07,164.7
2016-08,145.06
2016-09,145.47
2016-10,142.16
2016-11,134.54
2016-12,138.82
2017-01,138.54
2017-02,136.14
2017-03,137.84
2017-04,137.1
2017-05,142.63
2017-06,144.87
2017-07,139.2903
2017-08,142.19
2017-09,137.62
2017-10,145.26
2017-11,143.12
2017-12,145.56
2018-01,146.99
2018-02,151.62
2018-03,149.67
2018-04,153.23
2018-05,153.81
2018-06,147.49
2018-07,145.41
2018-08,146.06
2018-09,145.36
2018-10,149.56
2018-11,148.3
2018-12,144.26
2019-01,143.69
2019-02,149.35
2019-03,148.55
2019-04,150.65
2019-05,148.7
2019-06,147.72
2019-07,148.78
2019-08,143.76
2019-09,142.96
2019-10,146.53
2019-11,150.81
2019-12,151.8
2020-01,152.24
2020-02,153.17
2020-03,153.37
2020-04,146.84
2020-05,149.27
2020-06,148.01
2020-07,145.98
2020-08,145.48
2020-09,149.71
2020-10,144.68
2020-11,150.86
2020-12,149.33
2021-01,148.5900
2021-02,148.6000
2021-03,152.2900
2021-04,149.3300
2021-05,151.5800
2021-06,153.3000
2021-07,154.3500
2021-08,153.1000
2021-09,155.0400
2021-10,153.4900
2021-11,153.9000
2021-12,150.9700
2022-01,151.0196
2022-02,155.1729
2022-03,155.2422
2022-04,147.6767
2022-05,147.8348
2022-06,145.5923
2022-07,144.3668
2022-08,142.8837
2022-09,139.8605
2022-10,136.3683
2022-11,140.5740
2022-12,145.0091
2023-01,147.1417
2023-02,144.7823
2023-03,140.2741
2023-04,145.6048
2023-05,148.3112
2023-06,147.4774
2023-07,150.7919
2023-08,151.3834
2023-09,153.4893
2023-10,150.8740
2023-11,149.5405
2023-12,150.7982
2024-01,150.2891
2024-02,152.1969
2024-03,151.4872
2024-04,153.1201
2024-05,152.4031
2024-06,151.8112
2024-07,152.1917
2024-08,155.0765
2024-09,154.7312
2024-10,156.4096
2024-11,154.8827
2024-12,153.3490
2025-01,154.8773
2025-02,151.2219
2025-03,155.3910
2025-04,158.5418
2025-05,162.8493
2025-06,162.6945
2025-07,161.4017
2025-08,162.5529
2025-09,161.1702
2025-10,162.1040
2025-11,162.3587
2025-12,160.1906
2026-01,161.6873
